GENE	Bileck cyt	Bileck Nucl
SEPHS1	75	25
SIK3	75	25
STARD3	75	25
VPS53	75	25
ANAPC5	26	74
ATP6V0A1	27	73
C21orf59	26	74
C6orf203	27	73
CCDC9	26	74
G3BP2	26	74
GNAI3	27	73
KAT8	27	73
LSM14B	27	73
MAGOHB	27	73
MANF	27	73
MGST2	26	74
MMGT1	27	73
NDUFA2	27	73
NMI	27	73
PPIB	26	74
RQCD1	27	73
SAMD9L	27	73
SPECC1	26	74
TARDBP	26	74
TRIOBP	26	74
USP36	27	73
VDAC1	26	74
AFG3L2	64	36
APP	64	36
ARRDC1	64	36
BPI	64	36
CCDC47	64	36
CLIC4	64	36
EEPD1	64	36
EIF2AK2	64	36
GIMAP1	64	36
HSD17B11	64	36
NME6	64	36
PDLIM5	64	36
SERINC1	64	36
SH3BGRL2	64	36
SLC2A6	64	36
STT3A	64	36
TGFB1	64	36
TPM2	64	36
TSPO	64	36
TSPO	64	36
ABCA1	60	40
AP2S1	60	40
ARRB2	60	40
ATP6V0A2	60	40
BRI3BP	60	40
CCDC22	60	40
CLTB	60	40
CRTC2	60	40
CSNK2A2	60	40
EIF1AX	60	40
EIF6	60	40
INPPL1	60	40
KRT3	60	40
LCP2	60	40
LRRFIP2	60	40
NOMO2	60	40
POTEF	60	40
PRSS1	60	40
PYCR2	60	40
RAB12	60	40
RPL37A	60	40
RPN1	60	40
RPS15A	60	40
SCRIB	60	40
SKAP2	60	40
TECR	60	40
TMEM50A	60	40
VPS52	60	40
ABI3	53	47
ALG12	53	47
CDSN	53	47
DDOST	53	47
HK2	53	47
ITPRIP	53	47
JUP	53	47
KRT17	53	47
MTMR10	53	47
NDUFB11	53	47
RAB13	53	47
RPLP0	53	47
SCO1	53	47
SLC25A40	53	47
STT3B	53	47
TMCO1	53	47
USP10	53	47
AKT1S1	66	34
AP4M1	66	34
ARHGAP17	66	34
ASL	66	34
BABAM1	66	34
CBR4	66	34
CC2D1A	66	34
CD44	66	34
CIB1	66	34
COPB1	66	34
DDRGK1	66	34
EIF3B	66	34
HSPA8	66	34
IGHM	66	34
KLF16	66	34
MPP6	66	34
PIGS	66	34
POLL	66	34
PPP4R2	66	34
RNF5	66	34
S100A10	66	34
SLC25A24	66	34
SLC35E1	66	34
SPCS3	66	34
TMOD3	66	34
UPF1	66	34
XPO5	66	34
ACAP1	32	68
ACTR3	32	68
CDC23	32	68
DDX3X	32	68
DEF6	32	68
DSC3	32	68
FBXO42	32	68
FLNB	32	68
GABPA	32	68
HELZ2	32	68
HMGB1	32	68
INPP5K	32	68
IRF2BP2	32	68
KMT2C	32	68
LRRC59	32	68
LSM3	32	68
OSBPL8	32	68
PRSS57	32	68
VPS18	32	68
BTK	86	14
C16orf54	86	14
DNAJC7	86	14
EFHD2	86	14
EPB41L2	86	14
EPRS	86	14
FUCA2	86	14
GAK	86	14
GHITM	86	14
HDAC7	86	14
ISG15	86	14
KPNA6	86	14
MAVS	86	14
MCEE	86	14
MCM5	86	14
MYL6	86	14
NBEAL2	86	14
NDE1	86	14
NDOR1	86	14
NEDD8	86	14
OFD1	86	14
RASSF5	86	14
RELA	86	14
RPA3	86	14
SEC62	86	14
SETD3	86	14
SFXN3	86	14
SLC27A4	86	14
TANK	86	14
TAP1	86	14
TIMM10B	86	14
TRAPPC4	86	14
TRAPPC5	86	14
TUBB2B	86	14
YWHAZ	86	14
C19orf52	42	58
CASP14	42	58
GPAA1	42	58
IRAK3	42	58
ITSN2	42	58
MCTS1	42	58
MROH7	42	58
MSH2	42	58
NCK2	42	58
NDUFB8	42	58
NEB	42	58
PSTPIP2	42	58
PUM1	42	58
RBM38	42	58
RPL8	42	58
RPS13	42	58
RPS4Y1	42	58
SETD2	42	58
SMC2	42	58
SMC4	42	58
SMG9	42	58
SSR4	42	58
ABCE1	71	29
ARNT	71	29
ARPIN	71	29
CASS4	71	29
CHST9	71	29
COMMD6	71	29
DYNC1LI2	71	29
EEF1A1	71	29
EIF4E	71	29
FAU	71	29
FAU	71	29
FOXRED1	71	29
GBAS	71	29
IGHMBP2	71	29
KRT19	71	29
MSH6	71	29
PIGT	71	29
PLOD1	71	29
RPS27	71	29
TDP2	71	29
TFEB	71	29
TMED2	71	29
TNFAIP2	71	29
UTS2	71	29
TOR1B	100	1
TXNDC12	100	1
ZDHHC6	100	1
VAPB	74	26
ABCB1	19	81
ASCC2	19	81
CKAP4	19	81
CLPB	19	81
DDX42	19	81
DMTN	19	81
DST	19	81
ELANE	19	81
EXOC1	19	81
FBXO38	19	81
FOXO1	19	81
GOLGB1	19	81
HMGN4	19	81
LASP1	19	81
MAD2L1	19	81
MAX	19	81
RFTN1	19	81
RPL29	19	81
TMX4	68	32
UGGT1	99	1
YIF1A	100	1
ZW10	97	3
ZDHHC13	96	4
YIPF5	100	1
USE1	100	1
WWOX	100	1
SCFD2	97	3
ABCD3	11	89
ANAPC1	11	89
C19orf43	11	89
CSNK1D	11	89
CSRP1	11	89
GTF3C4	11	89
IRF4	11	89
KLHL36	11	89
LBR	11	89
MAD2L1BP	11	89
MORC3	11	89
MSH3	11	89
NFYB	11	89
NKTR	11	89
PDIA5	11	89
PRCC	11	89
PRRC2A	11	89
QPCTL	11	89
SSU72	11	89
UNK	11	89
UPF3B	11	89
VKORC1	76	24
A1BG	100	1
A2M	100	1
AAGAB	100	1
AARS	100	1
AARS2	100	1
AARSD1	100	1
AASDHPPT	100	1
ABAT	100	1
ABCA5	100	1
ABCB7	100	1
ABCB8	100	1
ABCD4	100	1
ABCF3	100	1
ABHD11	100	1
ABHD16A	100	1
ABHD17A	100	1
ABHD17B	100	1
ABHD4	100	1
ABHD5	100	1
ABR	100	1
ACAD10	100	1
ACAD8	100	1
ACADS	100	1
ACADSB	100	1
ACAT2	100	1
ACBD6	100	1
ACO1	100	1
ACO2	100	1
ACOT1	100	1
ACOT2	100	1
ACOT7	100	1
ACOX1	100	1
ACOX3	100	1
ACP1	100	1
ACSL1	100	1
ACSS1	100	1
ACSS2	100	1
ACY1	100	1
ACYP1	100	1
ACYP2	100	1
ADA	100	1
ADAM15	100	1
ADAM17	100	1
ADAM8	100	1
ADAM9	100	1
ADH5	100	1
ADI1	100	1
ADK	100	1
ADPRH	100	1
ADRA1D	100	1
ADSS	100	1
AFM	100	1
AGFG2	100	1
AGL	100	1
AGO4	100	1
AGPAT3	100	1
AGPAT6	100	1
AGPAT9	100	1
