Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
TXNRD1	1	1	1	1	1	1	1	98	102	1	1		164	10	26	1	1	1		67	33	1		94	5	1		93	4	3		100	1	1	1		47	6	47		98	2		100	1	1		87	1	1	13
UBE2N	1	1	1	1	1	1	1	1	1	1	1		162	8	24	1	1	1		54	45	1		75	24	1		1	1	1		100	1	1	1		40	14	46		96	4		83	1	17		75	1	1	25
UCHL3	1	1	1	1	1	1	1	1	1	1	1		146	32	22	1	1	1		90	10	1		92	6	1		46	13	41		100	1	1	1		27	5	68		100	1		96	1	4		98	1	1	2
USP5	1	1	1	1	1	1	1	1	1	1	1		132	22	28	10	6	1		66	34	1		89	10	1		60	9	31		100	1	1	1		1	6	94		99	1		79	1	21		92	1	1	8
WDR77	1	1	1	1	1	1	1	1	1	1	1		126	12	58	4	1	1		57	43	1		82	9	9		48	15	36		100	1	1	1		59	1	41		99	1		71	2	27		79	1	1	21
ACACA	1	1	1	1	1	1	1	1	1	1	1		128	24	48	1	1	1		100	1	1		92	3	5		1	1	100		100	1	1	1		100	1	1		51	49		91	1	9		98	1	1	2
ADH5	1	1	1	1	1	1	1	1	1	1	1		166	28	4	1	1	1		70	30	1		82	16	1		7	2	91		100	1	1	1		95	1	3		100	1		78	1	22		92	1	1	8
ADSL	1	1	1	1	1	1	1	1	1	1	1		138	48	4	10	1	1		82	17	1		78	21	1		1	1	100		100	1	1	1		66	3	31		99	1		83	1	17		84	1	1	15
ADSS	1	1	1	1	1	1	1	1	1	1	1		116	76	8	1	1	1		71	29	1		86	13	1		30	6	64		100	1	1	1		35	4	61		100	1		82	1	18		99	1	1	1
APRT	1	1	1	1	1	1	1	1	1	1	1		152	38	4	4	1	1		66	33	1		86	12	1		15	3	82		100	1	1	1		28	3	69		99	1		87	1	11		82	1	1	18
ARHGAP1	1	1	1	1	1	1	1	1	1	1	1		116	28	56	1	1	1		56	43	1		49	43	8		2	3	95		100	1	1	1		51	11	37		99	1		74	1	26		67	1	1	33
ARHGEF1	1	1	1	1	1	1	1	1	1	1	1		98	1	102	1	1	1		36	64	1		93	6	1		1	1	100		100	1	1	1		100	1	1		88	12		99	1	1		71	2	18	9
ASNA1	1	1	1	1	1	1	1	1	1	1	1		114	60	14	6	1	6		44	55	1		97	1	1		11	4	85		100	1	1	1		22	6	72		99	1		70	2	28		80	1	1	20
ASNS	1	1	1	1	1	1	1	1	1	1	1		134	6	34	18	6	1		72	28	1		94	4	1		45	2	53		100	1	1	1		80	20	1		80	20		39	1	61		95	1	1	4
CARM1	1	1	1	1	1	1	1	1	1	1	1		144	24	32	1	1	1		68	32	1		77	17	6		1	1	100		100	1	1	1		100	1	1		99	1		82	1	18		93	1	1	7
COPS7A	1	1	1	1	1	1	1	1	1	1	1		114	42	24	20	1	1		82	17	1		17	45	38		1	6	94		100	1	1	1		16	6	78		96	4		80	1	19		64	1	1	36
COTL1	1	1	1	1	1	1	1	1	1	1	1		142	18	18	18	4	1		1	1	1		94	4	1		1	1	100		100	1	1	1		40	11	49		97	3		78	1	22		89	1	1	11
CSDE1	1	1	1	1	1	1	1	1	1	1	1		106	34	46	10	4	1		78	19	3		67	31	1		23	6	70		100	1	1	1		32	50	17		92	8		1	1	1		63	2	4	31
DCPS	1	1	1	1	1	1	1	1	1	1	1		122	66	12	1	1	1		78	21	1		78	13	9		48	7	45		100	1	1	1		85	15	1		100	1		73	1	27		62	16	1	21
DRG2	1	1	1	1	1	1	1	1	1	1	1		118	36	40	1	1	6		42	58	1		79	17	5		26	8	66		100	1	1	1		92	8	1		100	1		81	1	19		92	1	1	8
EIF2B4	1	1	1	200	1	1	1	1	1	1	1		66	18	86	32	1	1		97	3	1		95	3	1		1	15	85		100	1	1	1		80	20	1		94	6		83	1	17		93	1	1	7
ENOPH1	1	1	1	1	1	1	1	1	1	1	1		140	20	42	1	1	1		68	32	1		94	5	1		7	1	93		100	1	1	1		50	8	42		100	1		91	1	9		98	1	1	1
ESD	1	1	1	1	1	1	1	1	1	1	1		110	50	20	1	1	20		77	23	1		88	3	9		28	1	72		100	1	1	1		36	7	57		100	1		76	1	24		94	1	1	6
GALK1	1	1	1	1	1	1	1	1	1	1	1		158	28	14	1	1	1		65	26	9		80	18	1		26	4	70		100	1	1	1		44	12	44		100	1		86	1	14		96	1	1	4
GAPVD1	1	1	1	1	1	1	1	1	1	1	1		118	66	18	1	1	1		86	14	1		56	39	6		1	1	99		100	1	1	1		100	1	1		100	1		90	1	10		60	6	34	1
GART	1	1	1	1	1	1	1	1	1	1	1		152	14	32	4	1	1		72	27	1		94	5	1		39	1	60		100	1	1	1		91	9	1		99	1		83	1	17		93	1	1	7
GCLC	1	1	1	1	1	1	1	1	1	1	1		150	16	36	1	1	1		1	1	1		73	12	15		32	1	68		100	1	1	1		63	1	37		100	1		83	1	17		98	1	1	2
GDI1	1	1	1	1	1	1	1	1	1	1	1		120	34	46	1	1	1		67	33	1		94	5	1		21	8	70		100	1	1	1		55	11	34		97	3		87	1	13		90	1	1	10
GMPS	6	1	1	1	1	1	1	1	1	114	80		128	44	26	1	1	1		60	40	1		74	23	3		36	1	63		100	1	1	1		66	10	24		72	28		81	1	18		70	1	1	29
GSPT1	1	1	1	1	1	1	1	1	1	1	1		140	34	26	1	1	1		48	52	1		88	11	1		32	1	67		100	1	1	1		93	7	1		99	1		89	1	11		82	1	1	18
IPO11	1	1	1	1	1	1	1	1	1	1	1		110	20	70	1	1	1		100	1	1		72	11	17		1	1	100		100	1	1	1		100	1	1		100	1		82	1	18		93	1	1	7
IPO5	68	6	1	1	12	4	20	16	34	8	32		160	14	22	6	1	1		62	37	2		80	12	8		15	3	82		100	1	1	1		41	20	39		99	1		87	2	11		89	1	1	10
LTA4H	1	1	1	1	1	1	1	1	1	1	1		124	10	66	1	1	1		70	29	1		89	5	6		25	1	75		100	1	1	1		58	3	39		98	2		76	1	24		94	1	1	6
MAP2K1	1	1	1	1	1	1	1	1	1	1	1		136	14	30	8	8	4		44	56	1		84	15	1		1	1	100		100	1	1	1		51	1	49		100	1		76	1	24		78	1	1	21
MAPK14	1	1	1	1	1	1	1	1	1	1	1		104	42	54	1	1	1		83	16	1		63	36	1		1	1	100		100	1	1	1		39	61	1		100	1		84	1	16		97	1	1	3
MDH1	62	10	1	4	6	22	12	22	20	16	26		170	10	12	1	1	1		60	40	1		91	7	1		7	1	93		100	1	1	1		41	6	53		99	1		75	1	25		87	1	1	13
MGEA5	1	1	1	1	1	1	1	1	1	1	1		118	72	8	1	1	1		78	20	2		51	4	46		5	1	95		100	1	1	1		81	1	19		100	1		80	1	20		100	1	1	1
NIT2	1	1	1	1	1	1	1	1	1	1	1		62	10	22	6	10	90		87	10	3		75	24	1		16	2	83		100	1	1	1		60	2	38		100	1		78	1	22		88	1	1	12
NRD1	1	1	1	1	1	1	1	1	1	1	1		110	50	40	1	1	1		90	10	1		83	9	8		45	1	54		100	1	1	1		66	11	23		100	1		78	1	22		98	1	1	2
NUBP2	1	1	1	1	1	1	1	1	1	1	1		96	70	4	1	1	30		100	1	1		91	6	3		1	1	100		100	1	1	1		97	3	1		1	100		97	1	3		98	1	1	2
PAFAH1B1	1	1	1	1	1	1	1	1	1	1	1		146	34	20	1	1	1		62	37	1		89	9	1		32	4	64		100	1	1	1		90	10	1		92	8		78	1	22		80	1	1	20
PDXDC1	1	1	1	1	1	1	1	1	1	1	1		76	38	20	1	1	66		75	14	11		83	14	3		1	1	99		100	1	1	1		77	23	1		100	1		89	1	11		99	1	1	1
PFAS	1	1	1	1	1	1	1	1	1	1	1		90	24	86	1	1	1		79	21	1		92	6	1		42	1	58		100	1	1	1		75	1	25		100	1		83	1	16		94	1	1	6
