Gene	Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev
CSNK2A1	56	58	60	26	1	1
CSNK2A2	120	42	8	12	18	1
CSNK2B	84	18	96	1	1	1
CST3	26	1	54	66	40	14
CSTB	122	22	50	1	4	4
CSTF1	44	128	4	1	1	22
CSTF2	48	126	4	4	1	20
CSTF3	30	168	1	1	1	1
CTBP2	82	40	80	1	1	1
CTCF	20	136	1	1	1	44
CTDP1	114	78	6	1	1	4
CTNNBL1	96	100	1	1	1	1
CTNND1	60	1	86	42	14	1
CTPS1	106	56	38	1	1	1
CTSA	1	4	6	130	60	1
CTSB	12	8	16	90	64	10
CTSC	1	28	18	106	28	20
CTSD	1	14	8	112	44	22
CTSL	76	8	44	38	28	6
CTSS	4	14	10	76	74	24
CTSZ	1	14	4	112	52	16
CUL1	60	60	64	18	1	1
CUL2	98	20	84	1	1	1
CUL3	74	50	60	16	1	1
CUL4A	64	92	14	1	18	12
CUL4B	58	18	60	64	1	1
CUX1	8	128	20	24	1	22
CWC27	100	1	100	1	1	1
CWF19L1	48	68	84	1	1	1
CYB5A	4	24	34	60	62	18
CYB5B	1	68	8	22	36	64
CYB5R1	1	28	14	14	64	78
CYB5R3	1	28	8	14	86	60
CYBA	1	1	1	34	150	14
CYBB	1	1	4	148	44	1
CYC1	1	56	1	6	16	122
CYFIP1	14	8	40	78	54	6
CYP20A1	1	10	26	72	78	14
CYP27A1	1	32	1	1	110	58
CYP51A1	1	64	10	16	34	78
DAB2	72	1	26	68	32	1
DAK	116	78	6	1	1	1
DAP3	1	32	1	4	38	126
DARS	128	16	48	6	1	1
DARS2	1	32	1	32	16	120
DAXX	32	106	8	1	1	54
DBNL	98	56	6	30	8	1
DBT	1	54	1	4	12	130
DCAKD	1	88	1	12	46	56
DCPS	122	66	12	1	1	1
DCTN1	134	28	26	10	1	1
DCTN2	150	10	32	6	1	1
DCUN1D1	142	22	18	20	1	1
DCXR	156	20	24	1	1	1
DDB1	68	104	18	1	1	10
DDI2	142	28	30	1	1	1
DDOST	1	18	6	30	112	30
DDT	192	4	4	1	1	1
DDX1	32	30	68	26	32	12
DDX10	22	160	1	1	1	18
DDX17	12	116	36	18	1	16
DDX18	14	146	10	8	1	22
DDX19A	56	20	54	46	18	6
DDX21	8	146	20	8	10	6
DDX23	30	162	6	1	1	1
DDX24	10	162	10	4	4	12
DDX27	14	134	14	8	20	12
DDX28	1	60	1	1	48	92
DDX39A	70	66	58	4	1	1
DDX3X	12	18	46	12	86	26
DDX3Y	1	4	50	58	62	22
DDX41	22	84	94	1	1	1
DDX42	46	98	42	6	1	6
DDX47	8	136	30	6	1	20
DDX49	1	98	46	48	1	6
DDX5	12	136	22	4	16	10
DDX50	6	180	1	1	1	16
DDX51	30	106	54	6	1	4
DDX52	12	72	16	84	1	16
DDX56	14	114	34	28	1	8
DDX6	22	1	64	20	82	10
DEGS1	1	32	16	30	94	24
DEK	16	20	108	8	40	6
DENR	112	1	60	28	1	1
DERA	78	32	58	28	4	1
DERL1	1	8	24	50	86	30
DFFA	1	12	8	66	108	6
DHCR7	4	54	12	40	60	30
DHDH	172	16	12	1	1	1
DHODH	1	36	1	1	46	118
DHRS1	1	36	34	72	28	28
DHRS13	1	1	1	52	106	42
DHRS4	1	24	22	30	54	70
DHRSX	1	50	10	24	82	34
DHX15	72	76	38	6	1	8
DHX16	40	110	50	1	1	1
DHX29	42	1	110	26	18	4
DHX30	26	36	12	8	40	80
DHX36	6	30	78	64	20	1
DHX37	34	116	26	12	1	12
DHX38	96	104	1	1	1	1
DHX58	32	1	86	70	10	1
DHX9	1	98	98	1	1	1
DIDO1	6	78	1	24	72	18
DIMT1	24	170	1	1	1	4
DIP2B	1	1	22	120	54	4
DIS3	54	54	72	18	1	1
DKC1	16	134	26	10	6	8
DLAT	1	46	1	8	22	124
DLD	1	10	6	8	46	130
DLST	1	12	1	6	38	142
DNAJA1	18	28	34	96	10	16
DNAJA2	66	60	32	20	12	8
DNAJA3	1	44	1	1	36	120
DNAJB1	44	14	86	56	1	1
DNAJB11	20	24	8	56	80	14
DNAJB6	58	88	20	26	1	6
DNAJC10	1	38	4	78	72	8
DNAJC11	1	32	1	16	64	88
DNAJC13	1	1	16	44	124	14
DNAJC2	30	6	74	76	10	1
DNAJC5	1	1	20	102	78	1
DNAJC7	114	52	34	1	1	1
DNAJC9	1	10	94	44	44	8
DNM1L	148	16	36	1	1	1
DNM2	40	8	86	58	8	1
DNMT1	40	148	1	1	1	12
DNPEP	84	76	18	6	4	14
DNTTIP2	12	150	36	1	1	4
DOCK10	1	1	18	118	60	4
DOCK2	24	12	74	70	12	6
DOCK7	1	1	26	40	62	72
DOCK8	4	1	44	126	22	1
DOHH	120	44	38	1	1	1
DPF2	12	174	1	1	1	14
DPM1	1	66	8	28	62	34
DPP7	1	1	1	124	64	8
DPP9	88	52	60	1	1	1
DPYSL2	124	60	16	1	1	1
DRG1	26	18	66	36	46	10
DRG2	118	36	40	1	1	6
DSCR3	20	14	98	64	6	1
DSTN	180	18	1	1	1	1
DTX3L	1	4	116	76	1	1
DTYMK	1	26	1	1	52	122
DUSP3	122	38	38	1	1	1
DUT	66	24	1	24	32	54
DYNC1H1	108	24	52	10	4	1
DYNC1I2	22	16	104	32	24	1
DYNC1LI1	76	30	72	22	1	1
EBNA1BP2	1	136	40	8	1	16
ECH1	1	18	10	28	68	78
ECHDC1	20	72	1	1	60	48
ECHDC3	1	68	1	1	24	108
ECHS1	1	18	1	4	64	114
ECI1	1	58	1	6	16	120
ECI2	1	58	18	26	46	52
ECSIT	1	16	1	1	126	56
EDC3	60	1	102	38	1	1
EEA1	76	14	46	48	16	1
EEF1A1	94	34	42	14	12	4
EEF1B2	90	8	80	8	10	4
EEF1D	76	56	60	8	1	1
EEF1G	106	22	40	16	12	4
EEF2	66	12	58	34	26	4
EEFSEC	72	1	106	22	1	1
EFHD2	136	26	30	8	1	1
EFTUD2	20	152	4	4	1	18
EHBP1L1	72	28	1	1	82	18
EHD1	30	8	14	78	62	8
EHD4	8	4	18	68	88	12
EIF2A	32	1	88	44	34	1
EIF2AK2	28	6	112	30	20	4
EIF2B3	100	60	40	1	1	1
EIF2B4	66	18	86	32	1	1
EIF2B5	118	42	32	8	1	1
EIF2S1	50	4	108	20	16	1
EIF2S2	26	40	60	24	34	14
EIF3B	42	4	104	38	10	1
EIF3C	56	14	102	20	4	4
EIF3D	100	14	80	6	1	1
EIF3E	30	14	94	60	1	1
EIF3F	68	6	106	10	6	1
EIF3H	60	4	90	34	12	1
EIF3K	48	28	104	18	1	1
EIF3M	86	32	66	18	1	1
EIF4A1	94	12	54	28	8	4
EIF4A2	38	18	88	46	6	4
EIF4A3	30	80	70	12	1	6
EIF4B	134	4	56	6	1	1
EIF4E	42	8	58	16	58	16
EIF4G1	84	18	88	8	1	1
EIF4G2	60	26	96	12	4	1
EIF4G3	108	22	52	18	1	1
EIF4H	130	4	46	22	1	1
EIF5	126	26	30	12	4	1
EIF5A	134	1	52	8	6	1
EIF5B	32	22	90	46	1	8
EIF6	46	60	52	32	4	6
ELAVL1	6	152	22	10	4	6
ELMO1	70	16	64	20	28	1
ELOVL1	1	1	1	100	100	1
EMC2	1	18	48	62	44	28
EMC3	1	10	14	30	110	36
EMC4	1	8	34	78	76	4
EMC8	1	4	22	42	92	40
EMD	30	120	12	8	16	12
EMG1	14	162	10	6	1	6
EML2	122	4	74	1	1	1
EML4	22	4	118	54	1	1
ENDOG	1	90	1	1	6	104
ENO3	164	24	4	4	4	1
ENOPH1	140	20	42	1	1	1
EP300	10	90	70	30	1	1
EPB41L2	1	1	16	136	36	12
EPHX1	1	14	50	78	46	10
EPS15L1	34	1	68	92	6	1
ERAL1	1	50	1	1	8	142
ERAP1	14	10	8	42	116	10
ERCC2	28	98	1	1	1	74
ERGIC1	1	1	28	88	72	8
ERGIC2	1	1	1	82	70	50
ERGIC3	1	1	18	90	72	20
ERLIN1	1	4	26	76	86	8
ERLIN2	4	70	10	36	56	24
ERMP1	1	42	6	34	70	50
ERO1L	24	16	34	74	38	18
ERO1LB	1	1	6	76	86	30
ERP29	44	10	10	14	92	30
ESD	110	50	20	1	1	20
ESF1	66	132	1	1	1	1
ESYT1	1	12	40	68	60	16
ETF1	38	10	60	14	68	10
ETFA	1	22	1	1	32	140
ETFB	1	22	1	4	30	142
ETFDH	1	54	1	6	28	112
ETV6	86	114	1	1	1	1
EVI2B	1	1	14	152	32	1
EWSR1	36	32	80	32	6	16
EXOC1	1	44	6	52	42	56
EXOC3	1	1	30	118	52	1
EXOC4	8	1	36	88	64	4
EXOC8	1	1	16	136	44	1
EXOSC10	32	116	26	14	1	12
EXOSC2	64	116	20	1	1	1
EXOSC3	40	96	20	18	1	24
EXOSC5	60	82	52	1	1	6
EXOSC6	64	48	40	44	1	4
EXOSC7	30	118	20	1	1	32
EZR	6	1	28	152	14	1
FABP5	164	12	4	1	14	6
FADS1	1	36	10	40	90	22
FAF1	90	80	32	1	1	1
FAHD2A	1	40	1	1	44	114
FAM129A	112	88	1	1	1	1
FAR1	4	1	60	26	92	18
FARSA	30	4	98	34	32	1
FARSB	40	10	82	18	44	6
FASN	142	26	28	1	1	1
FBL	1	134	36	18	1	6
FCER1G	1	12	6	92	80	10
FCGR1A	1	1	1	126	68	6
FCGR2B	1	1	6	102	70	22
FDPS	154	24	22	1	1	1
FDXR	1	60	1	1	10	128
FECH	1	28	1	1	62	110
FEN1	22	50	74	32	4	18
FES	48	1	110	42	1	1
FGR	1	1	6	172	22	1
FH	6	16	1	6	28	144
FHL3	98	38	66	1	1	1
FIP1L1	8	168	1	1	1	24
FKBP15	12	14	78	66	24	8
FKBP1A	154	44	1	1	1	1
FKBP2	1	50	12	30	70	38
FKBP3	46	22	72	38	16	4
FKBP4	142	10	10	26	14	1
FKBP8	1	16	4	22	90	66
FLII	134	28	38	1	1	1
FLNA	124	20	16	26	14	1
FLNB	124	20	32	20	6	1
FLOT2	1	1	22	138	38	1
FMNL1	38	16	30	74	34	8
FMR1	6	1	102	32	58	1
FNBP1	70	4	20	56	52	1
FNBP1L	40	6	34	86	36	1
FNDC3A	1	44	24	28	76	30
FNDC3B	1	1	16	58	104	24
FRG1	26	68	62	32	10	4
FTH1	62	24	62	48	1	1
FTSJ3	22	128	34	1	1	14
FUBP1	116	18	48	1	1	16
FUBP3	46	1	96	42	12	4
FUCA1	1	1	1	90	88	22
FUS	34	70	72	10	6	8
FXN	1	40	1	1	60	100
FXR1	32	4	120	30	10	1
FXR2	16	1	136	48	1	1
FXYD2	1	1	1	36	134	30
FYB	1	1	20	50	126	1
FYN	1	1	12	138	50	1
FYTTD1	24	148	1	1	1	28
G3BP1	16	1	94	44	44	1
G3BP2	30	1	134	20	14	1
GAA	1	1	6	76	88	32
GADD45GIP1	1	32	1	1	68	98
GALK1	158	28	14	1	1	1
GALNT1	1	1	34	120	48	1
GANAB	28	18	8	52	80	14
GAPVD1	118	66	18	1	1	1
GAR1	1	4	64	38	80	14
GARS	124	40	12	1	4	20
GART	152	14	32	4	1	1
GAS7	1	1	4	138	56	1
GATAD2B	14	96	20	18	1	54
GATM	1	18	1	4	56	122
GBA	1	1	34	128	32	6
GBAS	1	54	1	1	42	102
GBE1	148	52	1	1	1	1
GCAT	1	40	1	1	26	132
GCLC	150	16	36	1	1	1
GCN1L1	14	1	90	58	26	8
GDI1	120	34	46	1	1	1
GDI2	128	46	10	8	6	4
GEMIN5	10	4	86	100	1	1
GFM1	1	18	1	6	34	142
GFM2	1	60	1	1	18	122
GFPT1	158	12	30	1	1	1
