Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
CCS	77	1	23
CCSMST1	1	1	100
CCT2	90	1	9
CCT3	84	1	15
CCT4	88	1	10
CCT5	89	1	10
CCT6A	89	1	10
CCT7	88	1	11
CCT8	84	1	15
CD151	50	50	1
CD276	70	4	27
CD2AP	94	1	6
CD2BP2	1	98	2
CD3EAP	1	100	1
CD4	1	22	78
CD44	56	21	23
CD46	15	1	85
CD59	19	73	8
CD63	50	50	1
CD70	1	1	100
CD81	4	1	96
CD83	1	1	100
CD9	40	1	59
CD97	1	11	89
CD99	1	46	54
CDAN1	100	1	1
CDC123	70	1	30
CDC16	1	12	88
CDC20	1	1	100
CDC23	40	52	9
CDC27	49	14	37
CDC34	80	1	20
CDC37	69	1	31
CDC40	1	100	1
CDC42	76	2	22
CDC42BPA	100	1	1
CDC42BPB	94	1	6
CDC42EP4	1	1	100
CDC42SE2	50	50	1
CDC5L	1	97	3
CDC7	50	50	1
CDC73	5	72	24
CDCA2	1	100	1
CDCA5	1	100	1
CDCA7L	1	100	1
CDCA8	1	100	1
CDIPT	1	1	100
CDK2	59	1	40
CDK4	67	1	33
CDK5	74	1	26
CDK5RAP3	1	14	86
CDK6	100	1	1
CDK7	55	1	45
CDK9	1	72	28
CDKAL1	1	1	100
CDKN2A	85	1	15
CDKN2A	85	1	15
CDKN2AIP	1	50	50
CDV3	72	1	28
CDYL	1	100	1
CEBPB	1	100	1
CEBPD	1	100	1
CEBPZ	1	100	1
CECR5	1	1	100
CELA1	1	1	100
CENPB	1	100	1
CENPE	1	100	1
CENPF	1	100	1
CENPH	1	100	1
CENPI	1	100	1
CENPL	1	100	1
CENPM	84	16	1
CENPO	1	100	1
CENPT	1	100	1
CENPU	1	100	1
CENPV	1	100	1
CEP350	100	1	1
CEP70	50	50	1
CEP97	95	1	5
CEPT1	1	1	100
CERS2	50	50	1
CETN2	1	84	16
CFAP20	9	57	34
CFDP1	23	1	77
CFL1	79	2	19
CFL2	65	6	29
CFLAR	1	100	1
CGGBP1	1	100	1
CHAC2	73	1	27
CHAF1A	1	100	1
CHAF1B	1	100	1
CHAMP1	1	94	6
CHCHD3	1	19	81
CHCHD4	1	1	100
CHD1	1	50	50
CHD1L	1	1	100
CHD2	1	100	1
CHD3	1	100	1
CHD4	1	75	23
CHD7	1	100	1
CHD8	1	1	100
CHD9	1	1	100
CHEK1	62	1	38
CHERP	1	100	1
CHID1	1	1	100
CHKA	100	1	1
CHML	100	1	1
CHMP1A	58	12	30
CHMP1B	1	1	100
CHMP2A	66	5	29
CHMP3	100	1	1
CHMP4A	72	1	28
CHMP4B	54	9	36
CHMP5	75	1	24
CHMP7	1	1	100
CHORDC1	82	1	18
CHP1	1	4	95
CHRAC1	66	15	19
CHTF18	4	1	96
CHUK	100	1	1
CHURC1	66	1	34
CIAO1	79	1	21
CIAPIN1	68	1	32
CIB1	33	1	67
CIRBP	11	81	8
CIRH1A	1	99	1
CISD1	1	23	77
CISD2	1	11	89
CIT	1	1	100
CKAP2	1	1	100
CKAP2L	1	100	1
CKAP4	1	6	94
CKAP5	71	1	29
CKB	81	1	19
CKMT1A	5	16	80
CKS1B	30	1	70
CLASP1	29	1	71
CLCC1	1	1	100
CLIC1	84	1	15
CLIC4	92	1	8
CLINT1	23	1	77
CLIP1	84	1	16
CLK1	1	100	1
CLN6	1	1	100
CLNS1A	62	1	38
CLP1	1	1	100
CLPB	1	39	61
CLPP	1	1	100
CLPTM1	1	1	100
CLPTM1L	1	1	100
CLPX	1	1	100
CLTA	70	8	22
CLTB	67	1	33
CLTC	80	1	18
CLU	1	1	100
CLUH	78	1	21
CMAS	5	64	31
CMBL	77	1	22
CMC1	1	31	69
CMPK1	75	1	24
CMSS1	1	98	2
CMTM6	100	1	1
CMTR1	100	1	1
CNBP	74	11	15
CNDP2	74	1	26
CNIH4	1	100	1
CNN2	73	1	27
CNNM4	1	1	100
CNOT1	74	1	25
CNOT10	88	1	12
CNOT2	100	1	1
CNOT3	96	1	4
CNOT6	98	1	2
CNOT7	93	1	7
CNOT8	93	1	7
CNP	19	1	81
CNPY2	21	12	67
COA3	1	37	63
COASY	93	1	7
COG1	73	1	27
COG2	100	1	1
COG3	79	1	21
COG4	96	1	4
COG5	87	1	13
COG6	94	1	6
COG7	99	1	1
COG8	54	1	46
COIL	1	100	1
COL15A1	100	1	1
COL4A2	1	1	100
COL4A3BP	100	1	1
COLGALT1	2	37	62
COMMD1	85	1	15
COMMD10	74	1	26
COMMD2	100	1	1
COMMD3	66	1	34
COMMD4	80	1	20
COMMD5	100	1	1
COMMD6	80	1	20
COMMD7	77	1	23
COMMD8	92	1	8
COMMD9	82	1	18
COMT	39	3	59
COMTD1	1	100	1
COPA	76	1	24
COPB1	77	1	23
COPB2	77	1	23
COPE	76	1	24
COPG1	86	1	13
COPG2	83	1	17
COPS2	43	1	57
COPS3	67	1	33
COPS4	66	1	34
COPS5	61	7	32
COPS6	76	1	23
COPS7A	80	1	19
COPS7B	86	1	14
COPS8	79	1	21
COPZ1	79	1	20
COQ7	50	50	1
COQ9	1	1	100
CORO1B	83	6	11
CORO1C	28	65	7
CORO7	100	1	1
COTL1	78	1	22
COX11	50	50	1
COX17	15	1	85
COX20	1	39	61
COX4I1	1	11	89
COX5A	2	60	38
