Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
DIDO1	16	83	1		1	100		1	100	1
DIP2B	8	87	5		1	100		77	1	23
DIS3	16	83	1		29	71		62	7	31
DKC1	18	82	1		1	100		1	100	1
DLAT	1	78	22		99	1		1	3	97
DLD	1	45	55		85	15		4	16	80
DLG1	2	60	38		37	63		39	9	52
DLST	3	53	44		78	22		1	5	95
DNAJA1	47	49	4		67	33		48	11	42
DNAJA2	40	55	5		72	28		41	7	52
DNAJA3	2	68	30		20	80		1	66	34
DNAJB1	99	1	1		65	35		73	3	24
DNAJB11	1	1	100		80	20		1	16	84
DNAJB12	7	75	18		77	23		1	1	100
DNAJB6	60	37	3		57	43		15	36	49
DNAJC10	5	39	56		67	33		1	74	26
DNAJC11	1	79	20		1	99		1	82	18
DNAJC17	6	91	3		41	59		25	11	64
DNAJC19	1	14	86		51	49		1	1	100
DNAJC2	1	100	1		61	39		96	1	4
DNAJC3	20	77	3		68	32		1	34	66
DNAJC7	54	45	1		86	14		77	2	21
DNAJC8	42	58	1		37	63		32	31	37
DNAJC9	10	89	1		97	3		74	1	25
DNM1L	48	51	1		100	1		93	1	7
DNMT1	1	99	1		1	99		27	37	36
DNPEP	84	16	1		98	2		2	1	98
DOCK7	56	42	2		1	100		87	1	13
DOHH	100	1	1		100	1		66	1	34
DOLPP1	1	99	1		100	1		1	1	100
DPF2	1	100	1		1	100		1	75	25
DPH5	100	1	1		100	1		92	1	8
DPM1	6	91	2		95	5		1	10	90
DPP3	78	22	1		100	1		89	1	11
DPP9	75	25	1		100	1		87	1	13
DPY30	13	87	1		7	93		100	1	1
DPYSL2	70	30	1		97	3		86	1	14
DR1	52	48	1		80	20		73	14	14
DRAP1	36	64	1		89	11		45	34	21
DRG1	51	42	6		69	31		72	3	25
DRG2	42	58	1		100	1		81	1	19
DST	37	60	3		19	81		87	11	2
DSTN	99	1	1		49	51		85	2	13
DTD1	51	49	1		46	54		72	1	28
DTYMK	93	3	5		100	1		56	1	44
DUS3L	100	1	1		100	1		36	1	64
DYNC1H1	24	76	1		44	56		88	1	11
DYNC1I2	12	87	1		75	25		91	1	9
DYNC1LI1	22	47	31		70	30		92	1	8
DYNC1LI2	40	60	1		71	29		82	1	18
DYNLL1	35	65	1		70	30		79	5	15
DYNLL2	25	73	2		48	52		42	25	34
DYNLT1	11	89	1		85	15		95	1	5
DYSF	9	55	36		95	5		100	1	1
EARS2	9	46	45		100	1		1	1	100
EBNA1BP2	2	97	1		1	100		1	100	1
ECH1	3	70	27		92	8		1	3	96
ECHS1	2	47	51		99	1		1	14	86
ECM29	61	39	1		98	2		88	1	12
EDC3	77	21	2		1	100		77	1	23
EDC4	68	32	1		6	94		64	3	33
EDF1	100	1	1		7	93		63	7	30
EED	1	99	1		3	97		1	99	1
EEF1A1	36	63	1		71	29		69	3	28
EEF1D	72	28	1		77	23		1	100	1
EEF1E1	54	44	2		78	22		74	3	23
EEF1G	36	64	1		74	26		67	1	32
EEF2	55	43	2		85	15		82	2	17
EEFSEC	52	46	1		65	35		20	1	80
EFHD2	84	16	1		86	14		90	1	10
EFTUD1	86	14	1		96	4		90	1	10
EFTUD2	8	92	1		2	98		45	36	19
EHD1	12	87	2		95	5		93	1	7
EHD4	11	87	2		92	8		89	1	11
EIF1	100	1	1		67	33		94	2	4
EIF1AX	62	37	1		60	40		64	7	28
EIF2A	82	17	1		67	33		1	100	1
EIF2B1	79	21	1		97	3		75	1	25
EIF2B2	75	25	1		97	3		76	1	24
EIF2B4	97	3	1		94	6		83	1	17
EIF2B5	74	25	1		92	8		85	1	15
EIF2S1	41	59	1		1	100		63	9	28
EIF2S2	39	59	2		69	31		59	12	29
EIF3A	73	27	1		75	25		74	3	23
EIF3B	71	29	1		66	34		76	2	22
EIF3C	68	31	1		61	39		100	1	1
EIF3D	70	29	1		62	38		68	1	30
EIF3E	72	27	1		70	30		58	2	40
EIF3G	88	12	1		68	32		62	3	36
EIF3I	67	32	1		67	33		69	3	28
EIF3K	64	36	1		63	37		75	3	21
EIF3M	61	39	1		67	33		79	1	19
EIF4A1	52	47	1		100	1		78	2	20
EIF4A3	7	92	1		29	71		41	18	41
EIF4B	99	1	1		80	20		80	2	18
EIF4E	69	30	1		71	29		67	4	29
EIF4E2	99	1	1		21	79		80	1	19
EIF4G1	58	39	2		75	25		5	1	95
EIF4G2	57	42	1		62	38		72	1	27
EIF4H	96	1	4		94	6		79	1	20
EIF5	52	48	1		97	3		76	3	21
EIF5A	62	36	2		77	23		71	3	27
EIF5B	52	47	1		73	27		65	3	32
EIF6	47	53	1		60	40		30	56	14
ELAC2	47	47	5		100	1		71	1	29
ELAVL1	15	84	1		12	88		8	88	4
ELMO2	33	33	33		57	43		100	1	1
ELMOD2	1	98	2		100	1		1	1	100
ELOVL1	14	82	5		99	1		1	1	100
ELP2	92	8	1		100	1		88	1	12
ELP3	92	8	1		98	2		96	1	4
