Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
CTAGE1	1	100	1
CTAGE1	1	100	1
CTAGE5	11	52	37
CTAGE9	1	1	100
CTBP1	15	85	1
CTCF	1	100	1
CTCFL	33	33	33
CTH	84	16	1
CTNNA1	30	67	3
CTNNBL1	3	96	1
CTNND1	33	65	2
CTR9	6	94	1
CTSB	1	1	100
CTSC	1	97	2
CTSD	37	58	5
CTSH	22	74	4
CTSS	99	1	1
CTTN	85	11	4
CTU1	100	1	1
CTU2	98	2	1
CUL1	15	85	1
CUL2	73	27	1
CUL3	12	88	1
CUL4A	56	44	1
CUL4B	32	68	1
CUL5	90	10	1
CUTA	96	4	1
CUTC	57	43	1
CUX1	1	100	1
CUX1	1	100	1
CWC22	37	63	1
CWC27	57	43	1
CWF19L1	54	46	1
CXCR4	1	52	48
CXorf38	100	1	1
CXXC1	1	100	1
CYB561D2	2	83	16
CYB5A	14	80	6
CYB5B	8	57	34
CYB5R1	1	73	27
CYB5R2	78	22	1
CYB5R3	2	95	2
CYBA	16	69	15
CYC1	1	86	13
CYCS	60	4	36
CYFIP1	14	85	1
CYFIP2	10	88	2
CYP1B1	1	68	32
CYP20A1	1	84	16
CYP2S1	33	33	33
CYP51A1	11	75	14
D2HGDH	1	1	100
DAAM1	1	87	13
DAD1	12	82	6
DAK	69	31	1
DAP3	1	86	14
DARS	50	46	4
DARS2	5	75	20
DAXX	9	90	1
DAZAP1	50	44	6
DBI	95	5	1
DBN1	88	12	1
DBNL	96	4	1
DBR1	81	19	1
DBT	1	86	14
DCAF7	1	99	1
DCAF8	85	14	1
DCAKD	1	87	13
DCK	97	1	3
DCP1A	85	15	1
DCP1B	60	40	1
DCPS	78	21	1
DCTD	93	7	1
DCTN1	59	40	1
DCTN2	49	50	1
DCTN3	100	1	1
DCTN4	95	5	1
DCTPP1	66	34	1
DCUN1D1	14	86	1
DCUN1D5	1	99	1
DCXR	10	1	90
DDB1	35	65	1
DDB2	1	100	1
DDHD1	74	26	1
DDI2	81	18	1
DDOST	9	88	2
DDRGK1	22	72	6
DDT	100	1	1
DDX1	46	52	2
DDX10	1	100	1
DDX11	33	33	33
DDX17	24	75	1
DDX18	2	98	1
DDX19A	36	64	1
DDX19B	57	43	1
DDX20	94	6	1
DDX21	5	95	1
DDX23	3	97	1
DDX24	6	94	1
DDX27	15	77	8
DDX28	1	19	81
DDX31	6	94	1
DDX39A	9	91	1
DDX39B	9	91	1
DDX3X	42	54	4
DDX41	8	92	1
DDX42	6	94	1
DDX46	3	94	3
DDX47	3	97	1
DDX49	10	88	1
DDX5	8	91	1
DDX50	1	99	1
DDX51	5	94	1
DDX52	1	100	1
DDX54	2	96	2
DDX55	8	92	1
DDX56	17	73	10
DDX59	6	94	1
DDX6	70	29	1
DECR1	1	55	44
DEF6	1	10	90
DEGS1	4	95	1
DEK	1	98	1
DENND4A	39	61	1
DENND4B	33	33	33
DENND4C	92	8	1
DENR	22	78	1
DERA	76	24	1
DERL1	6	88	6
DESI1	99	1	1
