Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
B1AH88	TSPO			Mitochondrion	Mitochondrion				
P30536	TSPO			Mitochondrion	Mitochondrion				
Q5TGU0	TSPO2	ER	ER	ER	ER				
Q01534	TSPY1								
P0CW01	TSPY10								
A6NKD2	TSPY2								
Q9H489	TSPY26P			Nucleus	Nucleus				
P0CV98	TSPY3								
P0CV99	TSPY4								
P0CW00	TSPY8								
Q9H0U9	TSPYL1	Nucleus	Nucleus	nucleus	Nucleus	Nucleus			
Q9H2G4	TSPYL2								
Q9UJ04	TSPYL4			Nucleus	Nucleus				
Q86VY4	TSPYL5			Nucleus	Nucleus				
Q8N831	TSPYL6			Nucleus	Nucleus				
Q2NL82	TSR1	Nucleus	Nucleus	nucleus	Nucleus	Nucleus			
Q969E8	TSR2			Nucleus	Nucleus				
Q9UJK0	TSR3								
Q53HC9	TSSC1								
Q9Y5U2	TSSC4								
Q9BXA7	TSSK1B			CS	CS				
Q96PF2	TSSK2			CS	CS				
Q96PN8	TSSK3			cytosol	cytosol		Nucleus		
Q6SA08	TSSK4			cytosol	cytosol				
Q9BXA6	TSSK6								
Q16762	TST	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q13630	TSTA3	Cytosol		Cytosol	cytosol				Cytosol
Q8NFU3	TSTD1								
Q5T7W7	TSTD2						Nucleus		
H0UI37	TSTD3								
Q5TCY1	TTBK1	cytosol	cytosol	cytosol	cytosol				
Q6IQ55	TTBK2								
Q99614	TTC1	Cytosol		Cytosol		cytosol			Cytosol
Q9H892	TTC12			CS	CS		Nucleus		
Q8NBP0	TTC13						Nucleus		
Q96N46	TTC14					Nucleus			
Q8NEE8	TTC16								
Q96AE7	TTC17								
Q5T0N1	TTC18			CS	CS				
Q6DKK2	TTC19					Mitochondrion			
Q8NDW8	TTC21A			CS	CS	Nucleus			
Q7Z4L5	TTC21B			CS	CS	Mitochondrion			
Q5TAA0	TTC22								
Q5W5X9	TTC23								
Q6PF05	TTC23L								
A2A3L6	TTC24								
Q96NG3	TTC25			cytosol	cytosol				
A0AVF1	TTC26	CS	CS	CS	CS				
Q6P3X3	TTC27	Cytosol		Cytosol					Cytosol
Q96AY4	TTC28								
Q8NA56	TTC29								
P53804	TTC3			Nucleus	Nucleus				
Q86WT1	TTC30A	CS	CS	CS	CS				
Q8N4P2	TTC30B	CS	CS	CS	CS				
Q49AM3	TTC31								
Q5I0X7	TTC32								
Q6PID6	TTC33								
A8MYJ7	TTC34								
A6NLP5	TTC36						Nucleus		
Q6PGP7	TTC37								
Q5R3I4	TTC38						cytosol		
Q5SRH9	TTC39A						CS		
Q5VTQ0	TTC39B								
Q8N584	TTC39C						Nucleus		
O95801	TTC4	Cytosol		Cytosol					Cytosol
Q8IYW2	TTC40			CS	CS				
Q8N0Z6	TTC5					Nucleus			
Q86TZ1	TTC6						CS		
Q9ULT0	TTC7A								
Q86TV6	TTC7B					PM			
Q8TAM2	TTC8								
Q92623	TTC9			ER	ER				
Q8N6N2	TTC9B			ER	ER				
Q8N5M4	TTC9C			ER	ER				
Q15361	TTF1			nucleus	Nucleus	Nucleus			
Q9UNY4	TTF2					cytosol			
O43156	TTI1	cytosol	cytosol	cytosol	cytosol				
Q6NXR4	TTI2								
P33981	TTK								
Q8NG68	TTL								
O95922	TTLL1	CS	CS	CS	CS				
Q6ZVT0	TTLL10								
Q8NHH1	TTLL11	CS	CS	CS	CS				
Q14166	TTLL12	Cytosol		Cytosol					Cytosol
A6NNM8	TTLL13			CS	CS				
Q9BWV7	TTLL2								
Q9Y4R7	TTLL3	CS	CS	CS	CS				
Q14679	TTLL4	CS	CS	CS	CS		Mitochondrion		
Q6EMB2	TTLL5								
Q8N841	TTLL6	CS	CS	CS	CS				
Q6ZT98	TTLL7	CS	CS	CS	CS		cytosol		
A6PVC2	TTLL8	CS	CS	CS	CS				
Q3SXZ7	TTLL9	CS	CS	CS	CS				
Q5BVD1	TTMP	ER	ER	ER	ER				
Q8WZ42	TTN								
P49638	TTPA			cytosol	cytosol				
Q9BTX7	TTPAL								
P02766	TTR						Golgi		
Q9BZA0	TTTY10								
Q9BZ98	TTTY12								
Q9BZ97	TTTY13								
Q9H313	TTYH1			PM	PM				
Q9BSA4	TTYH2	PM	PM	PM	PM				
Q9C0H2	TTYH3	PM	PM	PM	PM				
P50607	TUB								
Q71U36	TUBA1A			CS	CS				
P68363	TUBA1B	CS	CS	CS	CS				
Q9BQE3	TUBA1C			CS	CS				
Q13748	TUBA3C TUBA3D								
Q6PEY2	TUBA3E			CS	CS				
P68366	TUBA4A	Cytosol		Cytosol	CS				Cytosol
Q9H853	TUBA4B	CS	CS	CS	CS				
Q9NY65	TUBA8	CS	CS	CS	CS				
A6NHL2	TUBAL3	CS	CS	CS	CS				
P07437	TUBB			CS	CS				
Q9H4B7	TUBB1	CS	CS	CS	CS				
Q13885	TUBB2A	Cytosol		Cytosol	CS				Cytosol
Q9BVA1	TUBB2B	Cytosol		Cytosol	CS				Cytosol
Q13509	TUBB3	Cytosol		Cytosol	CS				Cytosol
P04350	TUBB4A			CS	CS				
P68371	TUBB4B	Cytosol		Cytosol	CS				Cytosol
Q9BUF5	TUBB6	Cytosol		Cytosol	CS				Cytosol
Q3ZCM7	TUBB8	CS	CS	CS	CS				
Q9UJT1	TUBD1								
Q9UJT0	TUBE1	CS	CS	CS	CS				
P23258	TUBG1			CS	CS				
Q9NRH3	TUBG2			CS	CS				
Q9BSJ2	TUBGCP2			CS	CS				
Q96CW5	TUBGCP3			CS	CS				
Q9UGJ1	TUBGCP4			CS	CS	CS			
Q96RT8	TUBGCP5			CS	CS	CS			
Q96RT7	TUBGCP6			CS	CS				
P49411	TUFM	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9NNX1	TUFT1								
O00294	TULP1								
O00295	TULP2								
O75386	TULP3								
Q9NRJ4	TULP4	cytosol	cytosol	cytosol	cytosol				
Q2TAM9	TUSC1								
O75896	TUSC2			Mitochondrion	Mitochondrion				
Q13454	TUSC3	ER		ER	ER		CS		ER
Q8IXB3	TUSC5								
A6NH52	TVP23A			Golgi	Golgi				
Q9NYZ1	TVP23B	Endosome		Endosome					Endosome
Q96ET8	TVP23C			Golgi	Golgi				
Q12792	TWF1	Cytosol		Cytosol		cytosol			Cytosol
Q6IBS0	TWF2					PM			
Q15672	TWIST1	Nucleus	Nucleus	Nucleus	Nucleus				
Q8WVJ9	TWIST2								
Q3B726	TWISTNB	Nucleus		nucleus	Nucleus				Nucleus
Q9GZX9	TWSG1	ER		ER			CS		ER
P42681	TXK								
P40222	TXLNA								
Q8N3L3	TXLNB			cytosol	cytosol				
Q9NUQ3	TXLNG						cytosol		
Q9BZA5	TXLNGY								
P10599	TXN	Cytosol		Cytosol					Cytosol
Q99757	TXN2	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q6PKC3	TXNDC11	ER	ER	ER	ER				
O95881	TXNDC12	ER	ER	ER	ER			ER	ER
Q96J42	TXNDC15	ER		ER			Golgi		ER
Q9P2K2	TXNDC16			ER	ER		Mitochondrion		
Q9BRA2	TXNDC17	Cytosol	cytosol	Cytosol	cytosol				Cytosol
Q86VQ3	TXNDC2			CS	CS				
Q8NBS9	TXNDC5	ER		ER	ER		ER	ER	ER
Q6A555	TXNDC8								
O14530	TXNDC9					cytosol			
Q9H3M7	TXNIP	PM		PM	cytosol				PM
O43396	TXNL1	cytosol		cytosol		cytosol		cytosol	cytosol
P83876	TXNL4A	Nucleus	Nucleus	Nucleus	Nucleus				
Q9NX01	TXNL4B			Nucleus	Nucleus				
Q16881	TXNRD1	Cytosol		Cytosol		Nucleus			Cytosol
Q9NNW7	TXNRD2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q86VQ6	TXNRD3								
Q6F5E7	TXNRD3NB								
P29597	TYK2						cytosol		
P19971	TYMP			cytosol	cytosol				
P04818	TYMS	Cytosol		Cytosol					Cytosol
Q8TAI1	TYMSOS								
P14679	TYR								
Q06418	TYRO3			PM	PM				
O43914	TYROBP			PM	PM				
P17643	TYRP1								
Q2T9J0	TYSND1	Peroxisome	Peroxisome	Peroxisome	Peroxisome				
Q9NV66	TYW1	ER		ER					ER
Q6NUM6	TYW1B								
Q6IPR3	TYW3								
A2RUC4	TYW5			cytosol	cytosol				
Q5T0J7	Tex35								
Q01081	U2AF1	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q8WU68	U2AF1L4						Nucleus		
P26368	U2AF2	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
O15042	U2SURP	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q9BZF9	UACA								
Q16222	UAP1			CS	CS				
Q3KQV9	UAP1L1	Cytosol		Cytosol	cytosol		CS		Cytosol
P22314	UBA1	Cytosol		Cytosol					Cytosol
Q9UBT2	UBA2					Nucleus			
Q8TBC4	UBA3	Cytosol		Cytosol					Cytosol
Q9GZZ9	UBA5	Cytosol		Cytosol					Cytosol
P62987	UBA52								
A0AVT1	UBA6	Cytosol		Cytosol	cytosol				Cytosol
P41226	UBA7					Nucleus			
Q9BSL1	UBAC1			cytosol	cytosol				
Q8NBM4	UBAC2	ER	ER	ER	ER		cytosol		
Q8TB05	UBALD1								
Q8IYN6	UBALD2								
Q9NZ09	UBAP1								
F5GYI3	UBAP1L								
Q5T6F2	UBAP2						cytosol		
Q14157	UBAP2L								
P57075	UBASH3A								
Q8TF42	UBASH3B						PM		
P0CG47	UBB								
P0CG48	UBC								
O15205	UBD					Nucleus			
P49459	UBE2A								
P63146	UBE2B								
O00762	UBE2C	Cytosol		Cytosol					Cytosol
P51668	UBE2D1			cytosol	cytosol				
P62837	UBE2D2								
P61077	UBE2D3			PM	PM				
Q9Y2X8	UBE2D4								
Q8IWF7	UBE2DNL								
P51965	UBE2E1			Nucleus	Nucleus				
Q96LR5	UBE2E2						Nucleus		
Q969T4	UBE2E3								
Q969M7	UBE2F	PM		PM			cytosol		PM
P62253	UBE2G1			cytosol	cytosol				
P60604	UBE2G2	ER		ER					ER
P62256	UBE2H			cytosol	cytosol	Mitochondrion			
P63279	UBE2I					cytosol			
Q9Y385	UBE2J1	ER		ER	ER				ER
Q8N2K1	UBE2J2	ER	ER	ER	ER				
P61086	UBE2K	Cytosol		Cytosol	cytosol				Cytosol
P68036	UBE2L3	Cytosol		Cytosol					Cytosol
O14933	UBE2L6						cytosol		
P61081	UBE2M	Cytosol		Cytosol	cytosol				Cytosol
P61088	UBE2N	Cytosol		Cytosol		Nucleus			Cytosol
Q5JXB2	UBE2NL								
Q9C0C9	UBE2O	Cytosol		Cytosol		Nucleus			Cytosol
Q7Z7E8	UBE2Q1								
Q8WVN8	UBE2Q2	cytosol	cytosol	cytosol	cytosol				
H0YL09	UBE2Q2L								
A1L167	UBE2QL1	Nucleus	Nucleus	Nucleus	Nucleus				
Q712K3	UBE2R2			cytosol	cytosol		Nucleus		
Q16763	UBE2S			cytosol	cytosol				
Q9NPD8	UBE2T			Nucleus	Nucleus		Nucleus		
Q5VVX9	UBE2U								
Q13404	UBE2V1	Cytosol		Cytosol	Nucleus				Cytosol
Q15819	UBE2V2	Cytosol		Cytosol					Cytosol
Q96B02	UBE2W								
Q9H832	UBE2Z	Cytosol		Cytosol					Cytosol
Q05086	UBE3A								
Q7Z3V4	UBE3B								
Q15386	UBE3C	Nucleus	Nucleus	Nucleus	Nucleus				
Q7Z6J8	UBE3D	cytosol	cytosol	cytosol	cytosol				
Q14139	UBE4A	cytosol	cytosol	cytosol	cytosol	Nucleus			
O95155	UBE4B								
O14562	UBFD1						Nucleus		
Q9Y5Z9	UBIAD1								
O95164	UBL3	PM	PM	PM	PM				PM
P11441	UBL4A			cytosol	cytosol				
Q8N7F7	UBL4B	cytosol	cytosol	cytosol	cytosol				
Q9BZL1	UBL5			cytosol	cytosol				
Q96S82	UBL7								
Q8WVY7	UBLCP1			Nucleus	Nucleus	Nucleus			
Q9NPG3	UBN1								
Q6ZU65	UBN2								
O94941	UBOX5						Nucleus		
Q9NZI7	UBP1	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q9UMX0	UBQLN1								
Q9UHD9	UBQLN2								
Q9H347	UBQLN3								
Q9NRR5	UBQLN4					Nucleus			
Q8IYU4	UBQLNL								
Q8IWV7	UBR1	cytosol	cytosol	cytosol	cytosol				
Q8IWV8	UBR2	Cytosol		Cytosol	Nucleus				Cytosol
Q6ZT12	UBR3						Nucleus		
Q5T4S7	UBR4								
O95071	UBR5			Nucleus	Nucleus				
Q8N806	UBR7						Nucleus		
Q9HAC8	UBTD1	PM		PM					PM
Q8WUN7	UBTD2	cytosol	cytosol	cytosol	cytosol				
P17480	UBTF	Nucleus	Nucleus	nucleus	Nucleus	Nucleus			Nucleus
P0CB47	UBTFL1								
P0CB48	UBTFL6	Nucleus	Nucleus	Nucleus	Nucleus				
Q04323	UBXN1			cytosol	cytosol		Nucleus		
Q96LJ8	UBXN10								
Q5T124	UBXN11	CS	CS	CS	CS				
P68543	UBXN2A						CS		
Q14CS0	UBXN2B						Nucleus		
Q92575	UBXN4	ER		ER				ER	ER
Q9BZV1	UBXN6	CS		CS					CS
O94888	UBXN7	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
O00124	UBXN8	ER	ER	ER	ER				
P09936	UCHL1	Cytosol		Cytosol					Cytosol
P15374	UCHL3	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q9Y5K5	UCHL5								
Q9HA47	UCK1			cytosol	cytosol		Nucleus		
Q9BZX2	UCK2			cytosol	cytosol				
Q9NWZ5	UCKL1						ER		
Q8WVF2	UCMA								
P55089	UCN								
Q96RP3	UCN2								
Q969E3	UCN3								
P25874	UCP1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P55851	UCP2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P55916	UCP3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q8IX04	UEVLD								
Q9Y3C8	UFC1	ER		ER					ER
Q92890	UFD1L								
O94874	UFL1	ER		ER				ER	ER
P61960	UFM1	ER		ER					ER
Q6NVU6	UFSP1								
Q9NUQ7	UFSP2	ER		ER					ER
Q16739	UGCG	Golgi	Golgi	Golgi	Golgi				
O60701	UGDH					Nucleus			
Q9NYU2	UGGT1	ER		ER				ER	ER
Q9NYU1	UGGT2								
Q16851	UGP2			cytosol	cytosol				
P22309	UGT1A1			ER	ER				
Q9HAW8	UGT1A10	ER	ER	ER	ER				
P35503	UGT1A3	ER	ER	ER	ER				
P22310	UGT1A4	ER	ER	ER	ER				
P35504	UGT1A5	ER	ER	ER	ER				
P19224	UGT1A6	ER	ER	ER	ER				
Q9HAW7	UGT1A7	ER	ER	ER	ER				
Q9HAW9	UGT1A8	ER	ER	ER	ER				
O60656	UGT1A9	ER	ER	ER	ER				
Q9Y4X1	UGT2A1								
Q6UWM9	UGT2A3								
P36537	UGT2B10			ER	ER				
O75310	UGT2B11			ER	ER				
P54855	UGT2B15			ER	ER				
O75795	UGT2B17			ER	ER				
Q9BY64	UGT2B28	ER	ER	ER	ER				
P06133	UGT2B4			ER	ER				
P16662	UGT2B7			ER	ER				
Q6NUS8	UGT3A1								
Q3SY77	UGT3A2								
Q16880	UGT8								
Q8TAS1	UHMK1			Nucleus	Nucleus				
Q96T88	UHRF1	Nucleus		Nucleus		Nucleus		Nucleus	Nucleus
Q6BDS2	UHRF1BP1								
A0JNW5	UHRF1BP1L						PM		
Q96PU4	UHRF2			Nucleus	Nucleus	Nucleus			
Q96RL1	UIMC1			Nucleus	Nucleus	Nucleus			
Q9BZM6	ULBP1								
Q9BZM5	ULBP2								
Q9BZM4	ULBP3	PM	PM	PM	PM				
O75385	ULK1						cytosol		
Q8IYT8	ULK2								
Q6PHR2	ULK3								
Q96C45	ULK4								
P07911	UMOD								
Q5DID0	UMODL1								
P11172	UMPS					cytosol			
Q13432	UNC119	Cytosol		Cytosol					Cytosol
A6NIH7	UNC119B	CS	CS	CS	CS				
Q9UPW8	UNC13A								
O14795	UNC13B								
Q8NB66	UNC13C								
Q70J99	UNC13D								
Q9H3U1	UNC45A								
Q8IWX7	UNC45B	cytosol	cytosol	cytosol	cytosol	cytosol			
Q53HI1	UNC50								
Q6ZN44	UNC5A								
Q8IZJ1	UNC5B	PM	PM	PM	PM				
O95185	UNC5C						Nucleus		
Q8IV45	UNC5CL						CS		
Q6UXZ4	UNC5D	PM	PM	PM	PM				
Q9P2D8	UNC79			PM	PM				
Q8N2C7	UNC80			PM	PM				
Q86WB7	UNC93A	PM	PM	PM	PM				
Q9H1C4	UNC93B1						Nucleus		
A6NJT0	UNCX	Nucleus	Nucleus	Nucleus	Nucleus				
P13051	UNG						cytosol		
Q9C0B0	UNK	cytosol	cytosol	cytosol	cytosol				
Q9H9P5	UNKL								
Q9UBR1	UPB1	cytosol	cytosol	cytosol	cytosol				
Q92900	UPF1					Nucleus			
Q9HAU5	UPF2								
Q9H1J1	UPF3A								
Q9BZI7	UPF3B								
O00322	UPK1A								
O75841	UPK1B			PM	PM				
O00526	UPK2								
O75631	UPK3A								
Q9BT76	UPK3B			PM	PM				
B0FP48	UPK3BL								
Q16831	UPP1			cytosol	cytosol	Nucleus			
O95045	UPP2			CS	CS				
Q96BW1	UPRT								
Q9NVA1	UQCC1	Mitochondrion		Mitochondrion					Mitochondrion
Q9BRT2	UQCC2	Mitochondrion		Mitochondrion					Mitochondrion
Q9UDW1	UQCR10	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				Mitochondrion
O14957	UQCR11	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				Mitochondrion
P14927	UQCRB	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P31930	UQCRC1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P22695	UQCRC2	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P47985	UQCRFS1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P0C7P4	UQCRFS1P1								
P07919	UQCRH	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
O14949	UQCRQ	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
A6NGE7	URAD	Peroxisome	Peroxisome	Peroxisome	Peroxisome				
O60287	URB1	Nucleus	Nucleus	nucleus	Nucleus	Nucleus		Nucleus	Nucleus
Q14146	URB2			nucleus	Nucleus	Nucleus			
Q8TCY9	URGCP								
O94763	URI1					Mitochondrion			
Q9BTM9	URM1	cytosol	cytosol	cytosol	cytosol				
Q96N76	UROC1			cytosol	cytosol				
P06132	UROD			cytosol	cytosol				
P10746	UROS								
Q9BQ65	USB1			Nucleus	Nucleus	Nucleus			
Q9NZ43	USE1	ER	ER	ER	ER			ER	ER
P22415	USF1	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q15853	USF2			Nucleus	Nucleus				
Q9Y6N9	USH1C			CS	CS	cytosol			
Q495M9	USH1G								
O75445	USH2A								
Q8N6Y0	USHBP1								
Q96IX5	USMG5	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
O60763	USO1								
O94782	USP1	Nucleus	Nucleus	Nucleus	Nucleus				
Q14694	USP10								
P51784	USP11								
O75317	USP12	PM		PM					PM
Q92995	USP13								
P54578	USP14					cytosol			
Q9Y4E8	USP15	Cytosol		Cytosol					Cytosol
Q9Y5T5	USP16			Nucleus	Nucleus				
C9JJH3	USP17L10								
C9JVI0	USP17L11								
C9JPN9	USP17L12								
C9JLJ4	USP17L13								
C9J2P7	USP17L15								
D6RBQ6	USP17L17								
D6R9N7	USP17L18								
D6RCP7	USP17L19								
Q7RTZ2	USP17L1P								
Q6R6M4	USP17L2								
D6RJB6	USP17L20								
D6R901	USP17L21								
D6RA61	USP17L22								
D6RBM5	USP17L23								
Q0WX57	USP17L24 USP17L25 USP17L26 USP17L27 USP17L28 USP17L29 USP17L30								
A6NCW0	USP17L3								
A6NCW7	USP17L4								
A8MUK1	USP17L5								
Q6QN14	USP17L6P								
P0C7H9	USP17L7								
P0C7I0	USP17L8								
Q9UMW8	USP18						cytosol		
O94966	USP19			ER	ER				
O75604	USP2								
Q9Y2K6	USP20								
Q9UK80	USP21								
Q9UPT9	USP22			Nucleus	Nucleus	Nucleus			
Q9UPU5	USP24			cytosol	cytosol				
Q9UHP3	USP25					cytosol			
Q9BXU7	USP26	Nucleus	Nucleus	Nucleus	Nucleus				
A6NNY8	USP27X								
Q96RU2	USP28			Nucleus	Nucleus	Nucleus			
Q9HBJ7	USP29								
Q9Y6I4	USP3	Nucleus		Nucleus					Nucleus
Q70CQ3	USP30	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q70CQ4	USP31			Nucleus	Nucleus		cytosol		
Q8NFA0	USP32			Golgi	Golgi				
Q8TEY7	USP33	ER		ER					ER
Q70CQ2	USP34			cytosol	cytosol		Nucleus		
Q9P2H5	USP35						Nucleus		
Q9P275	USP36	Nucleus	Nucleus	nucleus	Nucleus	Nucleus		Nucleus	Nucleus
Q86T82	USP37			Nucleus	Nucleus		Nucleus		
Q8NB14	USP38								
Q53GS9	USP39	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q13107	USP4	Cytosol		Cytosol					Cytosol
Q9NVE5	USP40								
Q3LFD5	USP41								
Q9H9J4	USP42						Nucleus		
Q70EL4	USP43			Nucleus	Nucleus				
Q9H0E7	USP44								
Q70EL2	USP45			Nucleus	Nucleus				
P62068	USP46	PM		PM		Nucleus			PM
Q96K76	USP47	Cytosol		Cytosol	cytosol		CS		Cytosol
Q86UV5	USP48								
Q70CQ1	USP49	Nucleus	Nucleus	Nucleus	Nucleus				
P45974	USP5	Cytosol		Cytosol	lysosome				Cytosol
Q70EL3	USP50								
Q70EK9	USP51								
Q70EK8	USP53								
Q70EL1	USP54						Mitochondrion		
P35125	USP6								
Q92738	USP6NL	PM		PM					PM
Q93009	USP7								
P40818	USP8								
Q93008	USP9X	Cytosol		Cytosol	CS				Cytosol
O00507	USP9Y	cytosol	cytosol	cytosol	cytosol				
Q5W0Q7	USPL1								
Q9Y2C2	UST	Golgi	Golgi	Golgi	Golgi		Mitochondrion		
Q5T230	UTF1	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q9Y3A2	UTP11L	Nucleus		nucleus	Nucleus		Nucleus	Nucleus	Nucleus
Q9BVJ6	UTP14A	Nucleus		nucleus	Nucleus			Nucleus	Nucleus
Q5TAP6	UTP14C			nucleus	Nucleus				
Q8TED0	UTP15	Nucleus		nucleus	Nucleus			Nucleus	Nucleus
Q9Y5J1	UTP18	Nucleus		nucleus	Nucleus	Nucleus		Nucleus	Nucleus
O75691	UTP20	Nucleus		nucleus				Nucleus	Nucleus
Q9BRU9	UTP23	Nucleus		nucleus	Nucleus		Nucleus		Nucleus
Q9NQZ2	UTP3	Nucleus		Nucleus	Nucleus		Nucleus		Nucleus
Q9NYH9	UTP6	Nucleus		nucleus	Nucleus	Nucleus		Nucleus	Nucleus
P46939	UTRN								
O95399	UTS2								
Q765I0	UTS2B								
Q9UKP6	UTS2R			PM	PM				
O14607	UTY	Nucleus	Nucleus	Nucleus	Nucleus				
Q9P2Y5	UVRAG								
Q2YD98	UVSSA			Nucleus	Nucleus				
Q8NBZ7	UXS1			Golgi	Golgi				
Q9UBK9	UXT								
Q08AM6	VAC14								
P23763	VAMP1								
P63027	VAMP2								
Q15836	VAMP3								
O75379	VAMP4						Golgi		
O95183	VAMP5								
P51809	VAMP7	Lysosome		Lysosome					Lysosome
Q9BV40	VAMP8								
Q8TAA9	VANGL1	PM	PM	PM	PM		PM		PM
Q9ULK5	VANGL2	PM		PM	PM				PM
Q9P0L0	VAPA					ER			
O95292	VAPB	ER		ER					ER
P26640	VARS					cytosol			
Q5ST30	VARS2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion
Q7L8A9	VASH1								
Q86V25	VASH2						cytosol		
Q6EMK4	VASN								
P50552	VASP	CS		CS					CS
Q99536	VAT1			Mitochondrion	Mitochondrion				
Q9HCJ6	VAT1L						cytosol		
P15498	VAV1								
P52735	VAV2								
Q9UKW4	VAV3								
Q5SQQ9	VAX1	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q9UIW0	VAX2			Nucleus	Nucleus		Nucleus		
P61758	VBP1	Cytosol		Cytosol					Cytosol
P19320	VCAM1								
P13611	VCAN								
P18206	VCL					CS			
P55072	VCP	Cytosol		Cytosol					Cytosol
Q96JH7	VCPIP1						PM		
Q9H867	VCPKMT	cytosol	cytosol	cytosol	cytosol				
Q9H320	VCX			Nucleus	Nucleus				
Q9H322	VCX2								
Q9NNX9	VCX3A			Nucleus	Nucleus				
Q9H321	VCX3B			Nucleus	Nucleus				
O14598	VCY VCY1B								
P21796	VDAC1	Mitochondrion		Mitochondrion			cytosol		Mitochondrion
P45880	VDAC2	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9Y277	VDAC3	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P11473	VDR	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
P15692	VEGFA					Mitochondrion			
P49765	VEGFB								
P49767	VEGFC								
O95231	VENTX	Nucleus	Nucleus	Nucleus	Nucleus				
P0C5K6	VENTXP1								
Q14D04	VEPH1			PM	PM				
Q14119	VEZF1			Nucleus	Nucleus	Nucleus			
Q9HBM0	VEZT								
O15240	VGF								
Q99990	VGLL1	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q8N8G2	VGLL2			Nucleus	Nucleus				
A8MV65	VGLL3	Nucleus	Nucleus	Nucleus	Nucleus				
Q14135	VGLL4	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
P40337	VHL								
Q6RSH7	VHLL								
P09327	VIL1			CS	CS	PM			
O15195	VILL			CS	CS				
P08670	VIM			cytosol	cytosol	CS			
Q9BQE4	VIMP	ER		ER		ER			ER
P01282	VIP								
P32241	VIPR1	PM	PM	PM	PM				
P41587	VIPR2	PM	PM	PM	PM				
Q6UXI7	VIT								
Q9BQB6	VKORC1	ER	ER	ER	ER				ER
Q8N0U8	VKORC1L1	ER	ER	ER	ER				
P98155	VLDLR								
Q3ZAQ7	VMA21	ER		ER					ER
Q2NL98	VMAC	CS	CS	CS	CS				
Q7Z5L0	VMO1								
Q96GC9	VMP1								
Q9GZP7	VN1R1	PM	PM	PM	PM				
Q8TDU5	VN1R17P	PM	PM	PM	PM				
Q8NFZ6	VN1R2	PM	PM	PM	PM				
Q9BXE9	VN1R3	PM	PM	PM	PM				
Q7Z5H5	VN1R4	PM	PM	PM	PM				
Q7Z5H4	VN1R5	PM	PM	PM	PM				
O95497	VNN1	PM	PM	PM	PM				
O95498	VNN2	PM	PM	PM	PM				
Q9NY84	VNN3			PM	PM				
Q96AW1	VOPP1								
Q9Y4B6	VPRBP					Nucleus			
P12018	VPREB1								
Q9UKI3	VPREB3			ER	ER				
Q9H270	VPS11						cytosol		
Q96RL7	VPS13A						Mitochondrion		
