Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
Q9UL15	BAG5								
P46379	BAG6								
Q13072	BAGE								
Q86Y30	BAGE2								
Q86Y29	BAGE3								
Q86Y28	BAGE4								
Q86Y27	BAGE5								
Q9P281	BAHCC1								
Q8TBE0	BAHD1			Nucleus	Nucleus	Nucleus			
O14514	BAI1			PM	PM				
O60241	BAI2	PM	PM	PM	PM	CS			
O60242	BAI3	PM	PM	PM	PM				
Q9UQB8	BAIAP2	PM		PM					PM
Q9UHR4	BAIAP2L1	PM		PM	CS				PM
Q6UXY1	BAIAP2L2								
O94812	BAIAP3								
Q16611	BAK1	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q13145	BAMBI								
O75531	BANF1								
Q9H503	BANF2								
Q8NDB2	BANK1								
Q8N9N5	BANP	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q92560	BAP1								
Q8IXM2	BAP18			Nucleus	Nucleus				
Q99728	BARD1					Nucleus			
Q9BZE3	BARHL1	Nucleus	Nucleus	Nucleus	Nucleus				
Q9NY43	BARHL2			Nucleus	Nucleus				
Q9HBU1	BARX1	Nucleus	Nucleus	Nucleus	Nucleus				
Q9UMQ3	BARX2	Nucleus	Nucleus	Nucleus	Nucleus				
P80723	BASP1	PM		PM		PM			PM
Q16520	BATF					Nucleus			
Q8N1L9	BATF2	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q9NR55	BATF3	Nucleus	Nucleus	Nucleus	Nucleus				
Q07812	BAX								
Q9NRL2	BAZ1A	Nucleus	Nucleus	Nucleus	Nucleus		ER		Nucleus
Q9UIG0	BAZ1B	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus	Nucleus
Q9UIF9	BAZ2A	Nucleus		nucleus		Nucleus			Nucleus
Q9UIF8	BAZ2B	Nucleus	Nucleus	Nucleus	Nucleus				
Q96PG8	BBC3			Mitochondrion	Mitochondrion				
Q9BXH1	BBC3			Mitochondrion	Mitochondrion				
A8MTZ0	BBIP1			CS	CS				
O75936	BBOX1			cytosol	cytosol				
Q8NFJ9	BBS1								
Q8TAM1	BBS10			CS	CS		Nucleus		
Q6ZW61	BBS12			CS	CS				
Q9BXC9	BBS2								
Q96RK4	BBS4								
Q8N3I7	BBS5								
Q8IWZ6	BBS7					Nucleus			
Q3SYG4	BBS9								
Q8WY36	BBX			Nucleus	Nucleus				
P50895	BCAM	PM		PM	PM		Nucleus	PM	PM
Q96GW7	BCAN								
Q9UHQ4	BCAP29	ER	ER	ER	ER		cytosol		ER
P51572	BCAP31	ER		ER		ER			ER
P56945	BCAR1								
O75815	BCAR3								
O75363	BCAS1	cytosol	cytosol	cytosol	cytosol				
O75934	BCAS2	Nucleus		nucleus	Nucleus			Nucleus	Nucleus
Q9H6U6	BCAS3					Nucleus			
Q8TDM0	BCAS4			cytosol	cytosol				
P54687	BCAT1	Cytosol		Cytosol	cytosol				Cytosol
O15382	BCAT2	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9P287	BCCIP			Nucleus	Nucleus				
Q7Z5W3	BCDIN3D			cytosol	cytosol				
O60756	BCE1								
P06276	BCHE								
P12694	BCKDHA	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P21953	BCKDHB	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
O14874	BCKDK	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion
O95999	BCL10						Nucleus		
Q9H165	BCL11A					Nucleus			
Q9C0K0	BCL11B			Nucleus	Nucleus		Nucleus		
P10415	BCL2								
Q16548	BCL2A1	cytosol	cytosol	cytosol	cytosol				
Q07817	BCL2L1					Mitochondrion			
Q9HD36	BCL2L10								
O43521	BCL2L11								
Q9HB09	BCL2L12			Nucleus	Nucleus		cytosol		
Q9BXK5	BCL2L13	Mitochondrion		Mitochondrion				Mitochondrion	Mitochondrion
Q9BZR8	BCL2L14					cytosol			
Q5TBC7	BCL2L15								
Q92843	BCL2L2			Mitochondrion	Mitochondrion				
P20749	BCL3								
P41182	BCL6	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q8N143	BCL6B	Nucleus	Nucleus	Nucleus	Nucleus				
Q4VC05	BCL7A								
Q9BQE9	BCL7B	Nucleus		Nucleus			Nucleus		Nucleus
Q8WUZ0	BCL7C						Nucleus		
O00512	BCL9			Nucleus	Nucleus		Nucleus		
Q86UU0	BCL9L	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q9NYF8	BCLAF1					Nucleus			
Q9HAY6	BCO1			cytosol	cytosol		CS		
Q9BYV7	BCO2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q6W2J9	BCOR			Nucleus	Nucleus				
Q5H9F3	BCORL1			Nucleus	Nucleus				
Q8N888	BCORP1								
P11274	BCR	PM		PM					PM
Q9Y276	BCS1L	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q02338	BDH1	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9BUT1	BDH2	cytosol	cytosol	cytosol	cytosol	cytosol			
P46663	BDKRB1			PM	PM				
P30411	BDKRB2			PM	PM				
P23560	BDNF								
A6H8Y1	BDP1			Nucleus	Nucleus	Nucleus			
Q3B7T3	BEAN1								
Q14457	BECN1								
A8MW95	BECN1P1			cytosol	cytosol				
Q9BUH8	BEGAIN								
Q8NDZ0	BEND2								
Q5T5X7	BEND3	Nucleus	Nucleus	nucleus	Nucleus				Nucleus
Q6ZU67	BEND4								
Q7L4P6	BEND5			Golgi	Golgi				
Q5SZJ8	BEND6	Nucleus	Nucleus	Nucleus	Nucleus		ER		
Q8N7W2	BEND7								
O76090	BEST1			PM	PM				
Q8NFU1	BEST2			PM	PM				
Q8N1M1	BEST3	PM	PM	PM	PM				
Q8NFU0	BEST4	PM	PM	PM	PM				
O15155	BET1								
Q9NYM9	BET1L			Golgi	Golgi				
Q9HBH7	BEX1								
Q9BXY8	BEX2								
Q9NWD9	BEX4								
Q5H9J7	BEX5	cytosol	cytosol	cytosol	cytosol				
Q9NZS9	BFAR			ER	ER				
Q12934	BFSP1								
Q13515	BFSP2								
P02818	BGLAP								
P21810	BGN								
Q7RTS1	BHLHA15	Nucleus	Nucleus	Nucleus	Nucleus				
Q7RTU4	BHLHA9								
Q6PI77	BHLHB9								
Q8NFJ8	BHLHE22	Nucleus	Nucleus	Nucleus	Nucleus				
Q8NDY6	BHLHE23	Nucleus	Nucleus	Nucleus	Nucleus				
O14503	BHLHE40								
Q9C0J9	BHLHE41	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
C9JSJ3	BHMG1	Nucleus	Nucleus	Nucleus	Nucleus				
Q93088	BHMT	cytosol	cytosol	cytosol	cytosol	cytosol			
Q9H2M3	BHMT2			cytosol	cytosol				
Q9H694	BICC1	cytosol	cytosol	cytosol	cytosol		Nucleus		
Q96G01	BICD1			Golgi	Golgi				
Q8TD16	BICD2								
P55957	BID					cytosol			
Q13323	BIK			Mitochondrion	Mitochondrion				
O00499	BIN1					cytosol			
Q9UBW5	BIN2								
Q9NQY0	BIN3	CS	CS	CS	CS				
Q13490	BIRC2								
Q13489	BIRC3								
O15392	BIRC5					CS			
Q9NR09	BIRC6								
Q96CA5	BIRC7								
Q96P09	BIRC8			cytosol	cytosol				
Q86UB2	BIVM								
A4D250	BLACE								
P62952	BLCAP								
Q8IZY5	BLID			Mitochondrion	Mitochondrion				
P51451	BLK			PM	PM				
P54132	BLM			Nucleus	Nucleus				
Q13867	BLMH	Cytosol		Cytosol	cytosol				Cytosol
Q8WV28	BLNK								
P78537	BLOC1S1								
Q6QNY1	BLOC1S2			CS	CS				
Q6QNY0	BLOC1S3	cytosol	cytosol	cytosol	cytosol				
Q9NUP1	BLOC1S4	cytosol	cytosol	cytosol	cytosol				
Q8TDH9	BLOC1S5						ER		
Q9UL45	BLOC1S6								
P53004	BLVRA	cytosol	cytosol	cytosol	cytosol				
P30043	BLVRB	Cytosol		Cytosol	cytosol				Cytosol
Q9H2G9	BLZF1					Nucleus			
Q96LC9	BMF						Nucleus		
P35226	BMI1								
P13497	BMP1			Golgi	Golgi				
O95393	BMP10								
O95972	BMP15								
P12643	BMP2								
Q9NSY1	BMP2K	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q5H9B9	BMP2KL								
P12645	BMP3								
P12644	BMP4								
P22003	BMP5								
P22004	BMP6								
P18075	BMP7								
Q7Z5Y6	BMP8A								
P34820	BMP8B								
Q8N8U9	BMPER								
P36894	BMPR1A	PM		PM			cytosol		PM
O00238	BMPR1B			PM	PM				
Q13873	BMPR2			PM	PM				
Q14692	BMS1	Nucleus	Nucleus	nucleus	Nucleus	Nucleus			
P51813	BMX			CS	CS				
Q01954	BNC1								
Q6ZN30	BNC2			Nucleus	Nucleus				
Q12981	BNIP1	ER		ER					ER
Q12982	BNIP2								
Q12983	BNIP3						cytosol		
