Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
NUDCD3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		100	1	1		26	49	25		78	13	9		1	1	1	1		1	1	100		100	1		82	1	18		74	1	1	26
NUDT4	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		100	1	1		48	51	1		80	1	20		100	1	1	1		93	7	1		100	1		1	1	1		100	1	1	1
NUDT5	200	1	1	1	1	1	1	1	1	1	1		176	8	16	1	1	1		68	32	1		89	9	1		87	6	7		100	1	1	1		76	2	22		100	1		79	1	21		91	1	1	9
PEBP1	106	54	20	1	6	1	1	6	1	4	1		162	18	14	4	1	1		74	25	1		91	7	1		91	1	8		100	1	1	1		34	6	61		99	1		76	1	23		88	1	1	12
PKM	80	64	16	4	8	8	6	6	1	1	6		1	1	1	1	1	1		65	34	1		1	1	1		1	1	1		1	1	1	1		1	1	1		99	1		1	1	1		1	1	1	1
PPCS	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		92	8	1		61	33	6		16	3	81		1	1	1	1		100	1	1		100	1		76	1	24		100	1	1	1
PPM1A	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		71	29	1		1	1	1		93	4	2		1	1	1	1		21	1	79		100	1		1	1	100		95	1	1	5
PRDX6	104	34	1	1	18	22	4	6	1	4	6		134	48	12	6	1	1		65	35	1		91	8	1		40	14	46		100	1	1	1		36	7	58		98	2		83	1	16		85	1	1	15
PRUNE	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		100	1	1		48	1	51		1	1	100		1	1	1	1		1	1	1		99	1		100	1	1		1	1	1	1
PSAT1	162	38	1	1	1	1	1	1	1	1	1		156	30	4	4	1	6		69	31	1		91	8	1		1	1	1		100	1	1	1		1	1	1		100	1		77	1	23		95	1	1	5
RANBP1	104	84	1	1	1	1	1	1	1	1	12		162	22	16	1	1	1		72	25	3		88	11	1		70	14	17		100	1	1	1		1	1	1		97	3		84	2	14		85	1	1	15
