"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"CDK5RAP1"	1	35	1	65
"CDK5RAP3"	1	23	1	77
"CDK6"	86	1	10	4
"CDK7"	75	1	1	25
"CDK9"	1	1	1	100
"CDKN1A"	49	2	1	49
"CDKN2AIP"	1	1	1	100
"CDKN2AIPNL"	1	5	1	95
"CDS2"	1	1	1	99
"CDV3"	78	1	1	21
"CEBPZ"	1	36	64	1
"CECR5"	1	1	1	100
"CELF1"	3	37	13	46
"CENPB"	7	51	41	1
"CENPC"	1	100	1	1
"CENPF"	1	88	2	10
"CENPH"	1	67	33	1
"CENPM"	42	57	1	1
"CENPU"	1	67	33	1
"CENPV"	1	58	1	42
"CEP131"	79	2	15	4
"CEP170"	87	1	1	13
"CEP41"	100	1	1	1
"CEP85"	67	33	1	1
"CEP97"	100	1	1	1
"CERS2"	1	1	1	100
"CETN2"	73	9	1	18
"CFAP20"	23	19	2	56
"CFDP1"	78	1	1	22
"CFL1"	68	8	6	19
"CFL2"	69	27	1	4
"CGGBP1"	14	27	1	59
"CGN"	1	34	66	1
"CHAC2"	100	1	1	1
"CHAF1B"	1	32	1	68
"CHAMP1"	1	15	5	78
"CHCHD1"	1	15	1	85
"CHCHD2"	12	3	1	85
"CHCHD3"	1	8	69	23
"CHCHD6"	1	3	67	29
"CHD1"	1	52	1	48
"CHD1L"	60	21	1	18
"CHD2"	1	97	1	3
"CHD3"	50	1	1	50
"CHD4"	1	19	18	63
"CHD5"	1	50	1	50
"CHD7"	1	72	1	28
"CHD8"	1	77	1	23
"CHERP"	1	45	37	19
"CHID1"	1	47	1	53
"CHM"	100	1	1	1
"CHML"	85	1	1	15
"CHMP1A"	76	1	1	24
"CHMP1B"	96	2	1	2
"CHMP2A"	78	1	21	1
"CHMP2B"	82	1	1	18
"CHMP3"	90	1	1	9
"CHMP4A"	74	1	1	26
"CHMP4B"	67	1	4	29
"CHMP5"	87	3	1	10
"CHMP6"	1	16	1	84
"CHORDC1"	90	1	1	10
"CHP1"	1	1	1	99
"CHRAC1"	77	4	1	19
"CHTF18"	1	3	1	97
