Gene	Rodriguez-Pineiro_1	Rodriguez-Pineiro_2	Rodriguez-Pineiro_3	Rodriguez-Pineiro_4	Rodriguez-Pineiro_5	Rodriguez-Pineiro_6	Rodriguez-Pineiro_7	Rodriguez-Pineiro_8	Rodriguez-Pineiro_9	Rodriguez-Pineiro_10	Rodriguez-Pineiro_11
ATP6AP2	28	1	28	4	14	56	16	16	22	10	6
ATP6V0C	68	18	48	14	16	1	12	12	1	14	1
ATP6V0D1	32	60	58	1	8	12	10	8	1	1	8
ATP6V1A	90	78	32	1	1	1	1	1	1	1	1
ATP6V1B2	140	52	8	1	1	1	1	1	1	1	1
ATP6V1E1	170	30	1	1	1	1	1	1	1	1	1
ATP6V1G1	200	1	1	1	1	1	1	1	1	1	1
ATP6V1H	152	30	16	1	1	1	1	1	1	1	1
ATP8B1	1	160	10	1	28	1	1	1	1	1	1
ATPIF1	1	1	1	1	1	12	14	54	1	74	44
ATXN2L	1	126	66	1	1	1	1	1	1	1	1
AUH	1	1	1	1	1	1	1	142	1	1	58
AUP1	1	1	1	4	26	46	48	22	28	8	16
B2M	20	62	36	10	26	26	8	12	1	1	1
B3GNT3	1	1	1	1	28	102	42	1	30	1	1
BAG2	24	16	20	8	30	28	18	18	18	10	10
BAG6	8	46	46	10	30	18	42	1	1	1	1
BAIAP2	74	74	40	4	10	1	1	1	1	1	1
BAIAP2L1	6	162	30	1	1	1	1	1	1	1	1
BAK1	1	1	1	1	1	1	30	24	72	44	28
BANF1	1	1	22	1	42	34	28	26	1	30	20
BBX	1	1	1	1	1	1	1	1	1	1	1
BCAP29	1	1	42	1	26	34	20	10	56	8	4
BCAP31	4	10	20	10	32	34	22	18	20	12	16
BCAS2	1	90	100	1	8	1	1	1	1	1	1
BCAT2	1	1	1	1	1	1	1	36	110	54	1
BCKDHA	1	1	1	1	1	1	1	112	58	14	16
BCLAF1	1	46	84	6	28	18	14	1	1	1	1
BDH1	1	1	1	1	1	1	1	16	104	54	26
BIRC6	200	1	1	1	1	1	1	1	1	1	1
BLOC1S2	200	1	1	1	1	1	1	1	1	1	1
BLVRB	182	18	1	1	1	1	1	1	1	1	1
BMS1	1	1	200	1	1	1	1	1	1	1	1
BNIP1	1	1	98	20	48	22	4	1	1	1	1
BNIP3L	1	1	1	1	1	1	62	70	1	40	28
BPNT1	1	1	1	1	1	1	1	108	12	64	16
BRI3BP	1	6	1	10	34	48	32	22	1	32	18
BRIX1	1	102	94	1	1	1	1	1	1	1	1
BSG	38	54	40	8	18	14	8	6	6	1	6
BUD13	1	92	108	1	1	1	1	1	1	1	1
BYSL	24	152	22	1	1	1	1	1	1	1	1
BZW2	96	56	1	1	1	1	1	6	14	1	26
C10orf32	200	1	1	1	1	1	1	1	1	1	1
C14orf1	1	1	1	4	18	28	14	16	1	108	8
C14orf159	1	1	1	1	1	6	28	24	118	24	1
C14orf166	156	42	1	1	1	1	1	1	1	1	1
C15orf52	64	44	58	4	24	1	1	1	1	1	1
C16orf58	1	1	1	6	28	52	42	4	46	20	1
C17orf62	1	1	1	1	1	1	1	1	1	1	1
C18orf32	1	1	1	1	28	72	30	18	1	20	32
C19orf10	8	1	1	1	10	144	8	10	1	22	1
C1GALT1C1	1	200	1	1	1	1	1	1	1	1	1
C1QBP	1	1	1	1	1	1	34	1	166	1	1
C21orf33	1	1	1	1	1	1	8	14	68	88	20
C2CD2L	1	1	1	1	30	36	56	20	60	1	1
C2orf47	1	1	1	1	1	1	16	34	62	66	24
C6orf47	1	40	1	8	80	30	1	4	32	1	4
C7orf50	28	86	84	1	1	1	1	1	1	1	1
C8orf33	1	146	54	1	1	1	1	1	1	1	1
CA12	90	58	42	8	1	1	1	1	1	1	1
CA9	98	92	1	1	4	1	1	1	1	1	1
CAB39	12	118	70	1	1	1	1	1	1	1	1
CAB39L	12	32	6	78	8	1	1	1	40	1	22
CACYBP	102	68	1	4	1	6	6	10	1	1	4
CAD	4	180	16	1	1	1	1	1	1	1	1
CALB2	200	1	1	1	1	1	1	1	1	1	1
CALML5	1	1	1	1	200	1	1	1	1	1	1
CALR	4	8	16	6	42	32	36	16	26	1	12
CALU	1	24	22	8	22	56	20	20	20	4	6
CAMK2D	176	1	24	1	1	1	1	1	1	1	1
CAMSAP3	1	46	154	1	1	1	1	1	1	1	1
CAND1	130	56	4	1	1	1	1	1	1	1	1
CANX	1	8	20	10	34	54	22	20	14	8	8
CAP1	120	60	6	1	4	1	1	1	1	1	1
CAPN1	92	56	1	1	4	8	4	18	1	1	10
CAPN5	1	1	1	1	1	1	18	56	60	42	22
CAPNS1	118	26	1	6	22	1	1	8	1	4	14
CAPRIN1	22	126	50	1	1	1	1	1	1	1	1
CAPZA1	80	78	14	4	6	10	1	1	1	1	1
CAPZA2	88	78	1	8	1	1	6	10	1	1	8
CAPZB	96	56	14	1	10	6	4	1	4	1	4
CASC3	1	1	118	1	68	1	16	1	1	1	1
CASC4	46	154	1	1	1	1	1	1	1	1	1
CASK	32	86	60	4	10	4	1	1	1	1	1
CASP14	1	1	1	1	200	1	1	1	1	1	1
CAST	1	1	1	1	1	1	1	58	1	1	142
CAT	1	1	1	1	18	24	32	26	42	26	32
CBR4	1	1	1	1	1	1	1	24	88	88	1
CC2D1A	70	130	1	1	1	1	1	1	1	1	1
CCDC115	1	1	1	1	1	1	44	1	156	1	1
CCDC12	1	1	1	1	1	152	1	48	1	1	1
CCDC124	1	120	80	1	1	1	1	1	1	1	1
CCDC47	1	1	1	4	32	42	40	22	30	12	18
CCDC51	1	1	1	1	1	10	26	28	100	30	4
CCDC59	1	134	66	1	1	1	1	1	1	1	1
CCDC61	1	1	108	52	30	10	1	1	1	1	1
CCNY	1	1	1	1	1	1	1	1	1	1	1
CCNYL1	60	104	36	1	1	1	1	1	1	1	1
CCT2	126	58	14	1	1	1	1	1	1	1	1
CCT3	114	54	28	1	1	1	1	1	1	1	1
CCT4	114	66	14	1	1	1	1	1	1	1	1
CCT5	136	50	10	1	1	1	1	1	1	1	1
CCT6A	124	58	16	1	1	1	1	1	1	1	1
CCT7	88	84	26	1	1	1	1	1	1	1	1
CCT8	122	64	10	1	1	1	1	1	1	1	1
CD151	90	66	30	8	4	1	1	1	1	1	1
CD276	124	22	54	1	1	1	1	1	1	1	1
CD2AP	120	62	10	1	1	1	4	1	1	1	1
CD2BP2	100	100	1	1	1	1	1	1	1	1	1
CD44	74	82	20	6	14	1	1	1	1	1	1
CD46	56	82	42	8	8	4	1	1	1	1	1
CD47	114	30	1	12	36	8	1	1	1	1	1
CD59	70	92	16	6	16	1	1	1	1	1	1
CD63	116	62	18	1	1	1	1	1	1	1	1
CD9	56	72	38	8	10	6	1	4	1	1	1
CD97	88	62	8	8	32	1	1	1	1	1	1
CD99	162	1	1	1	38	1	1	1	1	1	1
CDC23	14	10	50	1	1	1	1	1	1	124	1
CDC37	74	68	36	10	1	1	1	8	1	1	4
CDC40	1	1	112	1	64	18	6	1	1	1	1
CDC42	60	72	32	10	10	4	1	4	1	1	4
CDC42BPA	1	200	1	1	1	1	1	1	1	1	1
CDC42BPB	8	190	1	1	1	1	1	1	1	1	1
CDC5L	1	84	84	6	10	8	4	1	1	1	1
CDCP1	88	98	1	8	1	1	1	1	1	1	1
CDH17	80	54	26	4	12	10	6	1	1	1	1
CDIPT	1	1	1	1	1	1	1	1	1	200	1
CDK12	1	100	100	1	1	1	1	1	1	1	1
CDK5RAP3	1	1	16	6	30	42	32	10	38	12	14
CDKAL1	1	1	1	1	72	1	128	1	1	1	1
CDX2	1	50	112	6	6	1	1	1	6	1	18
CEACAM1	1	200	1	1	1	1	1	1	1	1	1
CEACAM5	20	116	48	6	1	1	1	1	1	1	1
CECR5	1	1	1	1	1	1	26	50	56	40	28
CEMIP	1	1	122	1	14	26	12	1	26	1	1
CEP170B	1	1	1	1	1	1	1	1	1	1	1
CEP290	32	68	38	12	8	12	8	6	10	1	4
CEPT1	1	1	1	1	1	42	16	6	126	1	12
CFL1	56	68	24	10	12	10	4	4	1	6	6
CHAF1B	1	1	1	1	1	1	1	1	1	1	1
CHCHD3	1	1	1	1	1	10	24	48	52	38	26
CHCHD6	1	1	1	1	1	1	30	50	54	42	24
CHD3	1	1	1	1	1	200	1	1	1	1	1
CHD4	1	158	38	1	1	1	1	1	1	1	1
CHID1	1	1	1	1	22	34	40	30	60	12	1
CHMP1A	180	20	1	1	1	1	1	1	1	1	1
CHMP2A	178	1	1	1	22	1	1	1	1	1	1
CHMP4B	96	86	4	1	1	1	1	4	1	1	1
CHTOP	1	46	76	8	34	18	12	1	1	1	1
CIRBP	1	132	68	1	1	1	1	1	1	1	1
CISD1	1	1	1	1	24	32	22	50	1	62	10
CISD2	1	4	14	10	46	58	22	20	1	14	12
CKAP4	1	1	1	1	24	42	34	12	52	16	16
CKAP5	1	86	76	1	18	1	1	1	1	1	16
CKMT1A	1	1	1	1	12	18	30	48	56	28	8
CLASP1	1	26	174	1	1	1	1	1	1	1	1
CLASP2	24	1	176	1	1	1	1	1	1	1	1
CLCC1	1	1	1	6	56	48	50	14	4	6	14
CLCN3	6	32	158	1	1	1	1	1	1	1	1
CLDN3	36	116	42	4	1	1	1	1	1	1	1
CLDN4	18	102	54	12	12	1	1	1	1	1	1
CLDN7	20	114	66	1	1	1	1	1	1	1	1
CLIC1	100	36	20	4	8	10	4	6	1	4	8
CLINT1	4	48	130	10	4	1	1	1	1	1	1
CLIP2	1	138	60	1	1	1	1	1	1	1	1
CLN6	1	1	10	6	22	34	42	20	30	20	14
CLPTM1	1	1	1	6	34	44	46	16	26	14	12
CLPX	1	1	1	1	1	32	1	32	92	32	10
CLRN3	56	64	58	1	16	4	1	1	1	1	1
CLTA	92	1	32	8	40	10	12	1	1	1	4
CLTB	54	1	1	1	14	128	1	1	1	1	1
CLTC	52	52	32	4	12	12	18	4	6	1	6
CMAS	1	74	122	6	1	1	1	1	1	1	1
CMC1	1	1	1	1	1	1	1	1	1	200	1
CNN2	68	116	1	1	1	16	1	1	1	1	1
CNNM3	1	1	1	1	126	1	1	1	46	1	28
CNOT1	16	124	28	6	1	6	4	1	10	1	1
CNOT10	8	16	64	1	48	1	1	48	1	14	4
CNP	30	118	46	1	1	1	1	1	1	1	1
CNPY2	1	1	1	1	32	82	20	32	1	18	18
CNPY3	1	1	1	4	24	48	20	28	52	6	16
COASY	1	1	1	1	1	1	1	68	1	48	84
COIL	1	126	74	1	1	1	1	1	1	1	1
COL18A1	1	1	1	1	1	70	42	16	46	1	26
COMMD10	140	60	1	1	1	1	1	1	1	1	1
COMTD1	1	1	1	1	1	20	10	12	128	24	8
COPA	8	104	74	1	1	1	6	1	1	1	1
COPB1	150	48	1	1	1	1	1	1	1	1	1
COPB2	130	62	1	1	1	1	1	1	1	1	1
COPS2	186	14	1	1	1	1	1	1	1	1	1
COPS3	186	14	1	1	1	1	1	1	1	1	1
COPS4	200	1	1	1	1	1	1	1	1	1	1
COPS6	200	1	1	1	1	1	1	1	1	1	1
COQ6	1	1	44	34	6	84	6	6	4	1	12
COQ9	1	1	1	1	1	1	14	72	42	54	20
CORO1A	1	1	1	1	1	1	1	1	1	1	1
CORO1B	46	54	34	4	20	16	14	4	1	1	6
CORO1C	40	64	42	10	14	8	8	4	6	1	4
COX17	1	1	1	1	32	34	44	42	1	30	18
COX19	1	1	1	1	1	1	1	1	1	1	1
COX4I1	1	1	1	1	1	6	6	82	14	36	56
COX5A	1	1	1	1	14	22	26	58	1	34	46
COX5B	1	1	1	1	24	30	24	42	1	64	14
COX6B1	1	1	1	1	8	18	32	54	1	62	22
COX6C	1	1	1	1	16	24	28	40	1	60	30
COX7A2	1	1	1	1	1	50	76	72	1	1	1
COX7C	1	1	1	1	1	1	18	56	1	88	38
CPD	1	78	122	1	1	1	1	1	1	1	1
CPNE3	110	84	1	1	4	1	1	1	1	1	1
CPOX	1	1	1	1	6	40	12	38	64	24	16
CPS1	1	1	1	1	1	1	1	32	40	126	1
CPSF1	1	24	44	1	12	1	38	1	16	42	24
CPSF3	1	120	80	1	1	1	1	1	1	1	1
CPSF6	8	70	104	1	1	1	1	16	1	1	1
CPSF7	1	158	42	1	1	1	1	1	1	1	1
CPT1A	4	1	1	1	10	22	48	32	54	14	14
CPT2	1	1	1	1	1	1	14	30	98	58	1
CRAT	1	1	1	1	1	6	24	30	92	40	8
CRELD2	1	1	1	1	1	72	58	22	44	1	4
CRIP1	86	72	14	4	12	1	1	4	1	1	6
CRNKL1	1	1	1	1	10	1	1	88	92	12	1
CRYZ	1	1	1	1	6	12	22	44	54	36	28
CS	1	1	1	1	4	10	24	44	58	42	18
CSE1L	24	1	38	32	8	70	4	6	4	1	10
CSNK1A1	6	86	108	1	1	1	1	1	1	1	1
CSNK1D	1	78	122	1	1	1	1	1	1	1	1
CSNK2A1	94	58	24	6	8	6	4	1	1	1	1
CSRP1	62	90	40	4	6	1	1	1	1	1	1
CSTA	1	1	1	1	200	1	1	1	1	1	1
CSTB	58	102	26	1	1	1	1	1	1	6	8
CTAGE5	1	1	4	1	34	68	42	8	18	10	12
CTCF	1	1	1	1	1	1	1	1	1	1	1
CTDSP1	18	86	82	1	10	4	1	1	1	1	1
CTNNA1	144	46	8	1	1	1	1	1	1	1	1
CTNNB1	56	74	20	10	14	12	4	1	1	1	6
CTNND1	40	116	20	4	6	6	1	4	1	1	4
CTSA	132	68	1	1	1	1	1	1	1	1	1
CTSB	164	36	1	1	1	1	1	1	1	1	1
CTSC	160	40	1	1	1	1	1	1	1	1	1
CTSD	144	48	6	1	1	1	1	1	1	1	1
CTSZ	100	88	10	1	1	1	1	1	1	1	1
CTTN	60	94	36	6	4	1	1	1	1	1	1
CUL3	30	162	1	1	1	1	1	6	1	1	1
CUTA	200	1	1	1	1	1	1	1	1	1	1
CWC15	1	1	1	1	172	1	28	1	1	1	1
CWC22	54	1	22	4	22	50	40	4	1	1	1
CYB561	66	62	58	1	6	1	1	8	1	1	1
CYB5B	1	1	1	12	38	18	22	1	1	80	28
CYB5R1	1	1	1	1	1	1	38	50	74	26	12
CYB5R3	1	12	12	6	26	30	20	22	42	14	16
CYC1	1	1	1	1	10	16	38	26	70	32	10
CYCS	1	1	1	1	18	1	20	68	1	92	1
CYFIP1	34	74	66	4	8	8	1	1	1	1	1
CYFIP2	1	1	1	1	1	1	1	1	1	1	1
CYP1A2	1	1	1	1	1	1	200	1	1	1	1
CYP20A1	1	1	1	8	6	44	58	40	34	4	4
CYP2S1	1	8	26	10	26	58	24	18	20	4	6
CYP51A1	1	1	14	4	28	48	30	32	24	6	12
CYSTM1	74	76	38	12	1	1	1	1	1	1	1
DAD1	1	1	12	10	30	36	30	24	4	30	18
DAG1	200	1	1	1	1	1	1	1	1	1	1
DAK	168	6	14	1	1	1	1	1	1	10	1
DAP3	1	1	1	1	1	1	22	64	58	38	22
DARS	124	48	24	1	1	1	1	1	1	1	1
DARS2	1	1	1	1	1	1	4	20	116	36	24
DBI	200	1	1	1	1	1	1	1	1	1	1
DBN1	36	96	28	1	6	6	10	6	6	1	8
DBNL	200	1	1	1	1	1	1	1	1	1	1
DBT	1	1	1	1	1	1	18	1	168	1	14
DCAKD	1	1	1	1	1	102	1	14	1	84	1
DCD	1	44	1	6	1	1	36	32	1	6	78
DCTN1	200	1	1	1	1	1	1	1	1	1	1
DCTN2	164	18	16	1	1	1	1	1	1	1	1
DCTN3	200	1	1	1	1	1	1	1	1	1	1
DCXR	1	1	1	1	1	1	1	62	62	30	46
DDAH1	50	86	28	4	10	10	1	4	4	1	1
DDB1	128	18	52	1	1	1	1	1	1	1	1
